移除的组件,移除后 GP 增益的变化（百分点）,同时区间下限,同时区间上限
重启,-0.009740697178875117,-0.04497357935544779,0.025492184997697558
信息素下界保护,-0.014043812596819154,-0.04889851755585708,0.020810892362218773
历史路径强化,0.38566352006229143,0.10470207993859776,0.666624960185985
