过程指标,AS；不使用 GP,AS；使用 GP,MMAS；不使用 GP,MMAS；使用 GP
实际强化路径的平均 gap（%）,7.689772915787361,4.3708574012356225,1.0792306468998538,0.8125615713906897
强化路径优于本轮最优路径的幅度（百分点）,-2.2911439236892255,-1.6538150043646174,0.05457820545390582,0.02465500518049058
2-opt 后本轮最优 gap（%）,5.398628992098135,2.717042396871004,1.1338088523537595,0.8372165765711802
2-opt 后不同路径数量,32.0,31.808333333333334,21.468501243781095,18.698932421227195
同来源同预算下 GP 沉积相对变化量,4.079043266856176e-09,0.09369406352897564,1.6336483876298065e-08,0.0185132662361494
关闭构造树后的选择概率差,1.9533202152397402e-08,0.014085128738991001,2.3563589412297992e-08,0.0010982811734575261
