配置,重启,信息素下界保护,历史路径强化,不使用 GP 的 gap（%）,使用 GP 的 gap（%）,GP 带来的改进（百分点）,同时区间下限,同时区间上限,不使用 GP 时移除组件的退化（百分点）,使用 GP 时移除组件的退化（百分点）
完整 MMAS,启用,启用,启用,0.09628131908665724,0.11476151034517956,-0.018480191258522332,-0.034554720270087054,-0.002405662246957603,0.0,0.0
仅关闭历史路径强化,启用,启用,关闭,0.5563725218792062,0.18918919307543697,0.36718332880376914,0.09164309723941777,0.6427235603681205,0.4600912027925489,0.07442768273025739
仅关闭信息素下界保护,启用,关闭,启用,0.17747161325605734,0.20999561711139886,-0.03252400385534149,-0.06522763172208229,0.00017962401139932221,0.0811902941694001,0.09523410676621925
关闭下界保护与历史路径强化,启用,关闭,关闭,0.38281562276970876,0.3474684677336145,0.0353471550360943,-0.08823857080301144,0.15893288087520002,0.28653430368305155,0.23270695738843494
仅关闭重启,关闭,启用,启用,0.2078098122418778,0.23603070067927528,-0.02822088843739745,-0.0641882817861183,0.007746504911323386,0.11152849315522059,0.12126919033409571
关闭重启与历史路径强化,关闭,启用,关闭,0.5623040964370883,0.29505495365392026,0.267249142783168,-0.006901857509755194,0.5414001430760913,0.4660227773504311,0.18029344330874064
关闭重启与下界保护,关闭,关闭,启用,0.6032252097061666,0.6297339548855355,-0.026508745179368864,-0.08707136015755038,0.03405386979881267,0.5069438906195094,0.5149724445403558
关闭上述三个组件,关闭,关闭,关闭,0.5422236477106454,0.6374166490625142,-0.09519300135186876,-0.19778512528909126,0.007399122585353815,0.4459423286239882,0.5226551387173346
