配置,模型,相对重启轮次,相对重启时最优 gap 的变化（百分点）,有观测实例数,有观测求解次数,重启事件数
仅关闭信息素下界保护,第三个 GP 表达式,-100,0.0,32,160,1322
仅关闭信息素下界保护,第三个 GP 表达式,-50,0.0,32,160,1322
仅关闭信息素下界保护,第三个 GP 表达式,-25,0.0,32,160,1322
仅关闭信息素下界保护,第三个 GP 表达式,0,0.0,32,160,1322
仅关闭信息素下界保护,第三个 GP 表达式,25,0.0,32,160,1293
仅关闭信息素下界保护,第三个 GP 表达式,50,0.0,32,160,1293
仅关闭信息素下界保护,第三个 GP 表达式,100,-0.006458782651495949,32,160,1293
仅关闭信息素下界保护,第三个 GP 表达式,500,-0.05858561186496994,32,160,1191
关闭下界保护与历史路径强化,不使用 GP,-100,0.0,32,148,852
关闭下界保护与历史路径强化,不使用 GP,-50,0.0,32,148,852
关闭下界保护与历史路径强化,不使用 GP,-25,0.0,32,148,852
关闭下界保护与历史路径强化,不使用 GP,0,0.0,32,148,852
关闭下界保护与历史路径强化,不使用 GP,25,0.0,32,148,830
关闭下界保护与历史路径强化,不使用 GP,50,0.0,32,148,830
关闭下界保护与历史路径强化,不使用 GP,100,0.0,32,148,830
关闭下界保护与历史路径强化,不使用 GP,500,-0.017429783871690134,31,146,753
关闭下界保护与历史路径强化,第一个 GP 表达式,-100,0.0,32,160,1627
关闭下界保护与历史路径强化,第一个 GP 表达式,-50,0.0,32,160,1627
关闭下界保护与历史路径强化,第一个 GP 表达式,-25,0.0,32,160,1627
关闭下界保护与历史路径强化,第一个 GP 表达式,0,0.0,32,160,1627
关闭下界保护与历史路径强化,第一个 GP 表达式,25,0.0,32,160,1588
关闭下界保护与历史路径强化,第一个 GP 表达式,50,0.0,32,160,1588
关闭下界保护与历史路径强化,第一个 GP 表达式,100,-0.005026423155916436,32,160,1588
关闭下界保护与历史路径强化,第一个 GP 表达式,500,-0.0297907196886606,32,160,1455
关闭下界保护与历史路径强化,第二个 GP 表达式,-100,0.0,32,160,1777
关闭下界保护与历史路径强化,第二个 GP 表达式,-50,0.0,32,160,1777
