直接比较,GP 增益变化之差（百分点）,同时区间下限,同时区间上限
历史路径强化的移除效应减重启的移除效应,0.3954042172411667,0.12134637368605272,0.6694620607962807
历史路径强化的移除效应减下界保护的移除效应,0.3997073326591107,0.11782517050777191,0.6815894948104495
