比较,改进口径的交互效应（百分点）,同时区间下限,同时区间上限
保留历史路径强化时，重启与下界的交互,0.015755955854847747,-0.05863517890060811,0.09014709061030361
保留下界保护时，重启与历史强化的交互,-0.09019348884172593,-0.13084918177264673,-0.049537795910805114
保留重启时，下界与历史强化的交互,-0.3177923611708557,-0.5369871595844544,-0.09859756275725692
三个组件的交互,-0.046361926222209776,-0.13736309182588324,0.04463923938146368
