配置,模型,指标,均值
关闭下界保护与历史路径强化,第二个 GP 表达式,同轮同来源内更新树输出的标准差,0.13840919316497569
关闭下界保护与历史路径强化,第二个 GP 表达式,更新树输出饱和比例,0.9253860075
关闭下界保护与历史路径强化,第二个 GP 表达式,2-opt 平均改进（百分点）,4.518235866991528
关闭下界保护与历史路径强化,第二个 GP 表达式,同一路径经 2-opt 后的边保留率,0.9570335128906249
关闭下界保护与历史路径强化,第二个 GP 表达式,每百轮改进全局最优的次数,0.767
关闭下界保护与历史路径强化,第二个 GP 表达式,信息素下界触发比例,0.0
关闭下界保护与历史路径强化,第二个 GP 表达式,每百轮重启次数,0.222125
关闭下界保护与历史路径强化,第二个 GP 表达式,每轮硬上界裁剪次数,0.0
关闭下界保护与历史路径强化,第三个 GP 表达式,实际强化路径的平均 gap（%）,1.3913275056890961
关闭下界保护与历史路径强化,第三个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,0.0
关闭下界保护与历史路径强化,第三个 GP 表达式,强化路径年龄（轮）,0.0
关闭下界保护与历史路径强化,第三个 GP 表达式,用于历史来源的预算比例,0.0
关闭下界保护与历史路径强化,第三个 GP 表达式,构造路径平均 gap（%）,7.851679641038301
关闭下界保护与历史路径强化,第三个 GP 表达式,2-opt 后路径平均 gap（%）,2.0246114235502404
关闭下界保护与历史路径强化,第三个 GP 表达式,构造路径最优 gap（%）,5.277846010295574
关闭下界保护与历史路径强化,第三个 GP 表达式,2-opt 后本轮最优 gap（%）,1.3913275056890961
关闭下界保护与历史路径强化,第三个 GP 表达式,构造路径较优七条平均 gap（%）,6.0428762606845945
关闭下界保护与历史路径强化,第三个 GP 表达式,2-opt 后较优七条平均 gap（%）,1.580601292815336
关闭下界保护与历史路径强化,第三个 GP 表达式,同轮同来源内更新树输出的标准差,0.18230765502596244
关闭下界保护与历史路径强化,第三个 GP 表达式,更新树输出饱和比例,0.025366815
关闭下界保护与历史路径强化,第三个 GP 表达式,2-opt 平均改进（百分点）,5.827067885827749
关闭下界保护与历史路径强化,第三个 GP 表达式,同一路径经 2-opt 后的边保留率,0.945314832265625
关闭下界保护与历史路径强化,第三个 GP 表达式,每百轮改进全局最优的次数,0.774375
关闭下界保护与历史路径强化,第三个 GP 表达式,信息素下界触发比例,0.0
关闭下界保护与历史路径强化,第三个 GP 表达式,每百轮重启次数,0.199875
关闭下界保护与历史路径强化,第三个 GP 表达式,每轮硬上界裁剪次数,0.0
关闭下界保护与历史路径强化,三个 GP 表达式均值,实际强化路径的平均 gap（%）,1.3310848937222313
关闭下界保护与历史路径强化,三个 GP 表达式均值,强化路径优于本轮最优路径的幅度（百分点）,0.0
关闭下界保护与历史路径强化,三个 GP 表达式均值,强化路径年龄（轮）,0.0
关闭下界保护与历史路径强化,三个 GP 表达式均值,用于历史来源的预算比例,0.0
关闭下界保护与历史路径强化,三个 GP 表达式均值,构造路径平均 gap（%）,7.210978413756979
关闭下界保护与历史路径强化,三个 GP 表达式均值,2-opt 后路径平均 gap（%）,1.9090481963315988
关闭下界保护与历史路径强化,三个 GP 表达式均值,构造路径最优 gap（%）,4.827693434087864
关闭下界保护与历史路径强化,三个 GP 表达式均值,2-opt 后本轮最优 gap（%）,1.3310848937222313
关闭下界保护与历史路径强化,三个 GP 表达式均值,构造路径较优七条平均 gap（%）,5.5206733063591065
关闭下界保护与历史路径强化,三个 GP 表达式均值,2-opt 后较优七条平均 gap（%）,1.5017387522504018
关闭下界保护与历史路径强化,三个 GP 表达式均值,同轮同来源内更新树输出的标准差,0.16965656400077425
关闭下界保护与历史路径强化,三个 GP 表达式均值,更新树输出饱和比例,0.42675355000000004
关闭下界保护与历史路径强化,三个 GP 表达式均值,2-opt 平均改进（百分点）,5.301930043428685
关闭下界保护与历史路径强化,三个 GP 表达式均值,同一路径经 2-opt 后的边保留率,0.9501592616406251
关闭下界保护与历史路径强化,三个 GP 表达式均值,每百轮改进全局最优的次数,0.774
关闭下界保护与历史路径强化,三个 GP 表达式均值,信息素下界触发比例,0.0
关闭下界保护与历史路径强化,三个 GP 表达式均值,每百轮重启次数,0.2084583333333333
关闭下界保护与历史路径强化,三个 GP 表达式均值,每轮硬上界裁剪次数,0.0
仅关闭重启,不使用 GP,实际强化路径的平均 gap（%）,0.3561827161193798
仅关闭重启,不使用 GP,强化路径优于本轮最优路径的幅度（百分点）,0.006520123348705727
仅关闭重启,不使用 GP,强化路径年龄（轮）,1419.5448387499998
仅关闭重启,不使用 GP,用于历史来源的预算比例,0.9678
仅关闭重启,不使用 GP,构造路径平均 gap（%）,5.042605468614377
仅关闭重启,不使用 GP,2-opt 后路径平均 gap（%）,0.8227697236466563
仅关闭重启,不使用 GP,构造路径最优 gap（%）,0.876133214468769
仅关闭重启,不使用 GP,2-opt 后本轮最优 gap（%）,0.3627028394680857
仅关闭重启,不使用 GP,构造路径较优七条平均 gap（%）,1.002359775681607
仅关闭重启,不使用 GP,2-opt 后较优七条平均 gap（%）,0.38812643201887675
仅关闭重启,不使用 GP,同轮同来源内更新树输出的标准差,0.0
仅关闭重启,不使用 GP,更新树输出饱和比例,0.0
仅关闭重启,不使用 GP,2-opt 平均改进（百分点）,4.219835936446087
仅关闭重启,不使用 GP,同一路径经 2-opt 后的边保留率,0.97694070484375
仅关闭重启,不使用 GP,每百轮改进全局最优的次数,0.96225
仅关闭重启,不使用 GP,信息素下界触发比例,0.8920132793749999
仅关闭重启,不使用 GP,每百轮重启次数,0.0
仅关闭重启,不使用 GP,每轮硬上界裁剪次数,0.0
仅关闭重启,第一个 GP 表达式,实际强化路径的平均 gap（%）,0.33418839920021604
仅关闭重启,第一个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,0.0024009186461189584
仅关闭重启,第一个 GP 表达式,强化路径年龄（轮）,1466.05813625
仅关闭重启,第一个 GP 表达式,用于历史来源的预算比例,0.9678
仅关闭重启,第一个 GP 表达式,构造路径平均 gap（%）,4.816121907257738
仅关闭重启,第一个 GP 表达式,2-opt 后路径平均 gap（%）,0.7806706871488974
仅关闭重启,第一个 GP 表达式,构造路径最优 gap（%）,0.6729799122108452
仅关闭重启,第一个 GP 表达式,2-opt 后本轮最优 gap（%）,0.33658931784633533
仅关闭重启,第一个 GP 表达式,构造路径较优七条平均 gap（%）,0.7702157189698209
仅关闭重启,第一个 GP 表达式,2-opt 后较优七条平均 gap（%）,0.35305145292067325
仅关闭重启,第一个 GP 表达式,同轮同来源内更新树输出的标准差,0.021891668005346254
仅关闭重启,第一个 GP 表达式,更新树输出饱和比例,0.022226820000000005
仅关闭重启,第一个 GP 表达式,2-opt 平均改进（百分点）,4.03545166201183
仅关闭重启,第一个 GP 表达式,同一路径经 2-opt 后的边保留率,0.9789784146874999
仅关闭重启,第一个 GP 表达式,每百轮改进全局最优的次数,0.922375
仅关闭重启,第一个 GP 表达式,信息素下界触发比例,0.8931610583749999
仅关闭重启,第一个 GP 表达式,每百轮重启次数,0.0
仅关闭重启,第一个 GP 表达式,每轮硬上界裁剪次数,0.0
仅关闭重启,第二个 GP 表达式,实际强化路径的平均 gap（%）,0.35385480696193644
仅关闭重启,第二个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,0.0011915363851410785
仅关闭重启,第二个 GP 表达式,强化路径年龄（轮）,1431.76442125
仅关闭重启,第二个 GP 表达式,用于历史来源的预算比例,0.9678
仅关闭重启,第二个 GP 表达式,构造路径平均 gap（%）,3.027743004817094
仅关闭重启,第二个 GP 表达式,2-opt 后路径平均 gap（%）,0.6021244551842828
仅关闭重启,第二个 GP 表达式,构造路径最优 gap（%）,0.5817199585837403
仅关闭重启,第二个 GP 表达式,2-opt 后本轮最优 gap（%）,0.35504634334707724
仅关闭重启,第二个 GP 表达式,构造路径较优七条平均 gap（%）,0.6371433736138449
仅关闭重启,第二个 GP 表达式,2-opt 后较优七条平均 gap（%）,0.36671103434492774
仅关闭重启,第二个 GP 表达式,同轮同来源内更新树输出的标准差,0.018791926858200383
仅关闭重启,第二个 GP 表达式,更新树输出饱和比例,0.974812305
仅关闭重启,第二个 GP 表达式,2-opt 平均改进（百分点）,2.425619488008373
仅关闭重启,第二个 GP 表达式,同一路径经 2-opt 后的边保留率,0.98768518421875
仅关闭重启,第二个 GP 表达式,每百轮改进全局最优的次数,0.88575
仅关闭重启,第二个 GP 表达式,信息素下界触发比例,0.8936202369999998
仅关闭重启,第二个 GP 表达式,每百轮重启次数,0.0
仅关闭重启,第二个 GP 表达式,每轮硬上界裁剪次数,0.0
仅关闭重启,第三个 GP 表达式,实际强化路径的平均 gap（%）,0.33438692052512015
仅关闭重启,第三个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,0.00290062723669846
仅关闭重启,第三个 GP 表达式,强化路径年龄（轮）,1407.32393625
仅关闭重启,第三个 GP 表达式,用于历史来源的预算比例,0.9678
仅关闭重启,第三个 GP 表达式,构造路径平均 gap（%）,4.821424316546454
仅关闭重启,第三个 GP 表达式,2-opt 后路径平均 gap（%）,0.7819959085032271
仅关闭重启,第三个 GP 表达式,构造路径最优 gap（%）,0.6950539073684923
仅关闭重启,第三个 GP 表达式,2-opt 后本轮最优 gap（%）,0.33728754776181813
仅关闭重启,第三个 GP 表达式,构造路径较优七条平均 gap（%）,0.7964283608009023
仅关闭重启,第三个 GP 表达式,2-opt 后较优七条平均 gap（%）,0.35510598024664336
仅关闭重启,第三个 GP 表达式,同轮同来源内更新树输出的标准差,0.03570252639831153
仅关闭重启,第三个 GP 表达式,更新树输出饱和比例,0.0024011325000000004
仅关闭重启,第三个 GP 表达式,2-opt 平均改进（百分点）,4.039428638550778
仅关闭重启,第三个 GP 表达式,同一路径经 2-opt 后的边保留率,0.9788354974218749
仅关闭重启,第三个 GP 表达式,每百轮改进全局最优的次数,0.930125
仅关闭重启,第三个 GP 表达式,信息素下界触发比例,0.893010205
仅关闭重启,第三个 GP 表达式,每百轮重启次数,0.0
仅关闭重启,第三个 GP 表达式,每轮硬上界裁剪次数,0.0
仅关闭重启,三个 GP 表达式均值,实际强化路径的平均 gap（%）,0.3408100422290909
仅关闭重启,三个 GP 表达式均值,强化路径优于本轮最优路径的幅度（百分点）,0.0021643607559861653
仅关闭重启,三个 GP 表达式均值,强化路径年龄（轮）,1435.04883125
仅关闭重启,三个 GP 表达式均值,用于历史来源的预算比例,0.9678
仅关闭重启,三个 GP 表达式均值,构造路径平均 gap（%）,4.221763076207095
仅关闭重启,三个 GP 表达式均值,2-opt 后路径平均 gap（%）,0.7215970169454691
仅关闭重启,三个 GP 表达式均值,构造路径最优 gap（%）,0.6499179260543592
仅关闭重启,三个 GP 表达式均值,2-opt 后本轮最优 gap（%）,0.342974402985077
仅关闭重启,三个 GP 表达式均值,构造路径较优七条平均 gap（%）,0.7345958177948559
仅关闭重启,三个 GP 表达式均值,2-opt 后较优七条平均 gap（%）,0.3582894891707481
仅关闭重启,三个 GP 表达式均值,同轮同来源内更新树输出的标准差,0.025462040420619385
仅关闭重启,三个 GP 表达式均值,更新树输出饱和比例,0.33314675250000003
仅关闭重启,三个 GP 表达式均值,2-opt 平均改进（百分点）,3.5001665961903274
仅关闭重启,三个 GP 表达式均值,同一路径经 2-opt 后的边保留率,0.981833032109375
仅关闭重启,三个 GP 表达式均值,每百轮改进全局最优的次数,0.9127499999999998
仅关闭重启,三个 GP 表达式均值,信息素下界触发比例,0.8932638334583333
仅关闭重启,三个 GP 表达式均值,每百轮重启次数,0.0
仅关闭重启,三个 GP 表达式均值,每轮硬上界裁剪次数,0.0
关闭重启与历史路径强化,不使用 GP,实际强化路径的平均 gap（%）,1.5775791484593147
关闭重启与历史路径强化,不使用 GP,强化路径优于本轮最优路径的幅度（百分点）,0.0
关闭重启与历史路径强化,不使用 GP,强化路径年龄（轮）,0.0
关闭重启与历史路径强化,不使用 GP,用于历史来源的预算比例,0.0
关闭重启与历史路径强化,不使用 GP,构造路径平均 gap（%）,12.078448172954387
关闭重启与历史路径强化,不使用 GP,2-opt 后路径平均 gap（%）,2.643795843164885
关闭重启与历史路径强化,不使用 GP,构造路径最优 gap（%）,6.844972193489844
关闭重启与历史路径强化,不使用 GP,2-opt 后本轮最优 gap（%）,1.5775791484593147
关闭重启与历史路径强化,不使用 GP,构造路径较优七条平均 gap（%）,7.860890286444437
关闭重启与历史路径强化,不使用 GP,2-opt 后较优七条平均 gap（%）,1.8599015913677601
关闭重启与历史路径强化,不使用 GP,同轮同来源内更新树输出的标准差,0.0
关闭重启与历史路径强化,不使用 GP,更新树输出饱和比例,0.0
关闭重启与历史路径强化,不使用 GP,2-opt 平均改进（百分点）,9.434653039774387
关闭重启与历史路径强化,不使用 GP,同一路径经 2-opt 后的边保留率,0.914204332109375
关闭重启与历史路径强化,不使用 GP,每百轮改进全局最优的次数,0.7165
关闭重启与历史路径强化,不使用 GP,信息素下界触发比例,0.8533038168749999
关闭重启与历史路径强化,不使用 GP,每百轮重启次数,0.0
关闭重启与历史路径强化,不使用 GP,每轮硬上界裁剪次数,0.0
关闭重启与历史路径强化,第一个 GP 表达式,实际强化路径的平均 gap（%）,0.4201018893862116
关闭重启与历史路径强化,第一个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,0.0
关闭重启与历史路径强化,第一个 GP 表达式,强化路径年龄（轮）,0.0
关闭重启与历史路径强化,第一个 GP 表达式,用于历史来源的预算比例,0.0
关闭重启与历史路径强化,第一个 GP 表达式,构造路径平均 gap（%）,5.006853191028029
关闭重启与历史路径强化,第一个 GP 表达式,2-opt 后路径平均 gap（%）,0.8791590264531506
关闭重启与历史路径强化,第一个 GP 表达式,构造路径最优 gap（%）,0.8128386701053028
关闭重启与历史路径强化,第一个 GP 表达式,2-opt 后本轮最优 gap（%）,0.4201018893862116
关闭重启与历史路径强化,第一个 GP 表达式,构造路径较优七条平均 gap（%）,0.9318346962244395
关闭重启与历史路径强化,第一个 GP 表达式,2-opt 后较优七条平均 gap（%）,0.44094858217429883
关闭重启与历史路径强化,第一个 GP 表达式,同轮同来源内更新树输出的标准差,0.026888157358084384
关闭重启与历史路径强化,第一个 GP 表达式,更新树输出饱和比例,0.028252560000000003
关闭重启与历史路径强化,第一个 GP 表达式,2-opt 平均改进（百分点）,4.127693477173703
关闭重启与历史路径强化,第一个 GP 表达式,同一路径经 2-opt 后的边保留率,0.9779737314843749
关闭重启与历史路径强化,第一个 GP 表达式,每百轮改进全局最优的次数,0.837
关闭重启与历史路径强化,第一个 GP 表达式,信息素下界触发比例,0.8924679999999998
关闭重启与历史路径强化,第一个 GP 表达式,每百轮重启次数,0.0
关闭重启与历史路径强化,第一个 GP 表达式,每轮硬上界裁剪次数,0.0
关闭重启与历史路径强化,第二个 GP 表达式,实际强化路径的平均 gap（%）,0.4474699524928685
关闭重启与历史路径强化,第二个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,0.0
关闭重启与历史路径强化,第二个 GP 表达式,强化路径年龄（轮）,0.0
关闭重启与历史路径强化,第二个 GP 表达式,用于历史来源的预算比例,0.0
关闭重启与历史路径强化,第二个 GP 表达式,构造路径平均 gap（%）,3.1310682201976805
关闭重启与历史路径强化,第二个 GP 表达式,2-opt 后路径平均 gap（%）,0.6960376275162834
关闭重启与历史路径强化,第二个 GP 表达式,构造路径最优 gap（%）,0.6877615581397852
关闭重启与历史路径强化,第二个 GP 表达式,2-opt 后本轮最优 gap（%）,0.4474699524928685
关闭重启与历史路径强化,第二个 GP 表达式,构造路径较优七条平均 gap（%）,0.746905062637835
关闭重启与历史路径强化,第二个 GP 表达式,2-opt 后较优七条平均 gap（%）,0.46035677645041884
关闭重启与历史路径强化,第二个 GP 表达式,同轮同来源内更新树输出的标准差,0.022180812771207523
关闭重启与历史路径强化,第二个 GP 表达式,更新树输出饱和比例,0.96608567
关闭重启与历史路径强化,第二个 GP 表达式,2-opt 平均改进（百分点）,2.435031102497107
关闭重启与历史路径强化,第二个 GP 表达式,同一路径经 2-opt 后的边保留率,0.987496316953125
关闭重启与历史路径强化,第二个 GP 表达式,每百轮改进全局最优的次数,0.8145
关闭重启与历史路径强化,第二个 GP 表达式,信息素下界触发比例,0.8933579993749999
关闭重启与历史路径强化,第二个 GP 表达式,每百轮重启次数,0.0
关闭重启与历史路径强化,第二个 GP 表达式,每轮硬上界裁剪次数,0.0
关闭重启与历史路径强化,第三个 GP 表达式,实际强化路径的平均 gap（%）,0.468480116203144
关闭重启与历史路径强化,第三个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,0.0
关闭重启与历史路径强化,第三个 GP 表达式,强化路径年龄（轮）,0.0
关闭重启与历史路径强化,第三个 GP 表达式,用于历史来源的预算比例,0.0
关闭重启与历史路径强化,第三个 GP 表达式,构造路径平均 gap（%）,5.100471819156365
关闭重启与历史路径强化,第三个 GP 表达式,2-opt 后路径平均 gap（%）,0.9294091237205336
关闭重启与历史路径强化,第三个 GP 表达式,构造路径最优 gap（%）,0.9091884461248394
关闭重启与历史路径强化,第三个 GP 表达式,2-opt 后本轮最优 gap（%）,0.468480116203144
关闭重启与历史路径强化,第三个 GP 表达式,构造路径较优七条平均 gap（%）,1.0386647539186638
关闭重启与历史路径强化,第三个 GP 表达式,2-opt 后较优七条平均 gap（%）,0.49238215708617133
关闭重启与历史路径强化,第三个 GP 表达式,同轮同来源内更新树输出的标准差,0.04154387300967522
关闭重启与历史路径强化,第三个 GP 表达式,更新树输出饱和比例,0.003105177500000001
关闭重启与历史路径强化,第三个 GP 表达式,2-opt 平均改进（百分点）,4.171063268245732
关闭重启与历史路径强化,第三个 GP 表达式,同一路径经 2-opt 后的边保留率,0.97746737390625
关闭重启与历史路径强化,第三个 GP 表达式,每百轮改进全局最优的次数,0.819625
关闭重启与历史路径强化,第三个 GP 表达式,信息素下界触发比例,0.8920789682499999
关闭重启与历史路径强化,第三个 GP 表达式,每百轮重启次数,0.0
关闭重启与历史路径强化,第三个 GP 表达式,每轮硬上界裁剪次数,0.0
关闭重启与历史路径强化,三个 GP 表达式均值,实际强化路径的平均 gap（%）,0.4453506526940747
关闭重启与历史路径强化,三个 GP 表达式均值,强化路径优于本轮最优路径的幅度（百分点）,0.0
关闭重启与历史路径强化,三个 GP 表达式均值,强化路径年龄（轮）,0.0
关闭重启与历史路径强化,三个 GP 表达式均值,用于历史来源的预算比例,0.0
关闭重启与历史路径强化,三个 GP 表达式均值,构造路径平均 gap（%）,4.412797743460691
关闭重启与历史路径强化,三个 GP 表达式均值,2-opt 后路径平均 gap（%）,0.8348685925633227
关闭重启与历史路径强化,三个 GP 表达式均值,构造路径最优 gap（%）,0.8032628914566424
关闭重启与历史路径强化,三个 GP 表达式均值,2-opt 后本轮最优 gap（%）,0.4453506526940747
关闭重启与历史路径强化,三个 GP 表达式均值,构造路径较优七条平均 gap（%）,0.9058015042603127
关闭重启与历史路径强化,三个 GP 表达式均值,2-opt 后较优七条平均 gap（%）,0.464562505236963
关闭重启与历史路径强化,三个 GP 表达式均值,同轮同来源内更新树输出的标准差,0.030204281046322376
关闭重启与历史路径强化,三个 GP 表达式均值,更新树输出饱和比例,0.3324811358333334
关闭重启与历史路径强化,三个 GP 表达式均值,2-opt 平均改进（百分点）,3.577929282638847
关闭重启与历史路径强化,三个 GP 表达式均值,同一路径经 2-opt 后的边保留率,0.9809791407812499
关闭重启与历史路径强化,三个 GP 表达式均值,每百轮改进全局最优的次数,0.8237083333333335
关闭重启与历史路径强化,三个 GP 表达式均值,信息素下界触发比例,0.8926349892083333
关闭重启与历史路径强化,三个 GP 表达式均值,每百轮重启次数,0.0
关闭重启与历史路径强化,三个 GP 表达式均值,每轮硬上界裁剪次数,0.0
关闭重启与下界保护,不使用 GP,实际强化路径的平均 gap（%）,0.6957148486657585
关闭重启与下界保护,不使用 GP,强化路径优于本轮最优路径的幅度（百分点）,0.004874201882758284
关闭重启与下界保护,不使用 GP,强化路径年龄（轮）,2271.44383
关闭重启与下界保护,不使用 GP,用于历史来源的预算比例,0.9678
关闭重启与下界保护,不使用 GP,构造路径平均 gap（%）,1.4844544271327327
关闭重启与下界保护,不使用 GP,2-opt 后路径平均 gap（%）,0.7750760788938879
关闭重启与下界保护,不使用 GP,构造路径最优 gap（%）,1.1560041245855708
关闭重启与下界保护,不使用 GP,2-opt 后本轮最优 gap（%）,0.700589050548517
关闭重启与下界保护,不使用 GP,构造路径较优七条平均 gap（%）,1.2387328203199652
关闭重启与下界保护,不使用 GP,2-opt 后较优七条平均 gap（%）,0.7222366758740755
关闭重启与下界保护,不使用 GP,同轮同来源内更新树输出的标准差,0.0
关闭重启与下界保护,不使用 GP,更新树输出饱和比例,0.0
关闭重启与下界保护,不使用 GP,2-opt 平均改进（百分点）,0.7093805328838704
关闭重启与下界保护,不使用 GP,同一路径经 2-opt 后的边保留率,0.993492918125
关闭重启与下界保护,不使用 GP,每百轮改进全局最优的次数,0.634
关闭重启与下界保护,不使用 GP,信息素下界触发比例,0.0
关闭重启与下界保护,不使用 GP,每百轮重启次数,0.0
关闭重启与下界保护,不使用 GP,每轮硬上界裁剪次数,0.0
关闭重启与下界保护,第一个 GP 表达式,实际强化路径的平均 gap（%）,0.6662973852268151
关闭重启与下界保护,第一个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,0.0018213931066890718
关闭重启与下界保护,第一个 GP 表达式,强化路径年龄（轮）,2289.70958875
关闭重启与下界保护,第一个 GP 表达式,用于历史来源的预算比例,0.9678
关闭重启与下界保护,第一个 GP 表达式,构造路径平均 gap（%）,1.281092277740846
关闭重启与下界保护,第一个 GP 表达式,2-opt 后路径平均 gap（%）,0.7254058496823534
关闭重启与下界保护,第一个 GP 表达式,构造路径最优 gap（%）,0.9785272427223158
关闭重启与下界保护,第一个 GP 表达式,2-opt 后本轮最优 gap（%）,0.6681187783335039
关闭重启与下界保护,第一个 GP 表达式,构造路径较优七条平均 gap（%）,1.0387528599225868
关闭重启与下界保护,第一个 GP 表达式,2-opt 后较优七条平均 gap（%）,0.682347016566776
关闭重启与下界保护,第一个 GP 表达式,同轮同来源内更新树输出的标准差,0.015634857350068344
关闭重启与下界保护,第一个 GP 表达式,更新树输出饱和比例,0.2288163925
关闭重启与下界保护,第一个 GP 表达式,2-opt 平均改进（百分点）,0.555687002567087
关闭重启与下界保护,第一个 GP 表达式,同一路径经 2-opt 后的边保留率,0.995338915390625
关闭重启与下界保护,第一个 GP 表达式,每百轮改进全局最优的次数,0.60725
关闭重启与下界保护,第一个 GP 表达式,信息素下界触发比例,0.0
关闭重启与下界保护,第一个 GP 表达式,每百轮重启次数,0.0
关闭重启与下界保护,第一个 GP 表达式,每轮硬上界裁剪次数,0.0
关闭重启与下界保护,第二个 GP 表达式,实际强化路径的平均 gap（%）,0.6926035780377447
关闭重启与下界保护,第二个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,0.0010758401454067329
关闭重启与下界保护,第二个 GP 表达式,强化路径年龄（轮）,2309.49282125
关闭重启与下界保护,第二个 GP 表达式,用于历史来源的预算比例,0.9678
关闭重启与下界保护,第二个 GP 表达式,构造路径平均 gap（%）,1.2005122842336935
关闭重启与下界保护,第二个 GP 表达式,2-opt 后路径平均 gap（%）,0.7438143334908129
关闭重启与下界保护,第二个 GP 表达式,构造路径最优 gap（%）,0.9167175688384116
关闭重启与下界保护,第二个 GP 表达式,2-opt 后本轮最优 gap（%）,0.6936794181831515
关闭重启与下界保护,第二个 GP 表达式,构造路径较优七条平均 gap（%）,0.9635410825672207
关闭重启与下界保护,第二个 GP 表达式,2-opt 后较优七条平均 gap（%）,0.7049051709648549
关闭重启与下界保护,第二个 GP 表达式,同轮同来源内更新树输出的标准差,0.01584620008052784
关闭重启与下界保护,第二个 GP 表达式,更新树输出饱和比例,0.9671617900000001
关闭重启与下界保护,第二个 GP 表达式,2-opt 平均改进（百分点）,0.45669953156967147
关闭重启与下界保护,第二个 GP 表达式,同一路径经 2-opt 后的边保留率,0.99625334625
关闭重启与下界保护,第二个 GP 表达式,每百轮改进全局最优的次数,0.583875
关闭重启与下界保护,第二个 GP 表达式,信息素下界触发比例,0.0
关闭重启与下界保护,第二个 GP 表达式,每百轮重启次数,0.0
关闭重启与下界保护,第二个 GP 表达式,每轮硬上界裁剪次数,0.0
关闭重启与下界保护,第三个 GP 表达式,实际强化路径的平均 gap（%）,0.7013642594297347
关闭重启与下界保护,第三个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,0.0020513390480325854
关闭重启与下界保护,第三个 GP 表达式,强化路径年龄（轮）,2267.6829387499997
关闭重启与下界保护,第三个 GP 表达式,用于历史来源的预算比例,0.9678
关闭重启与下界保护,第三个 GP 表达式,构造路径平均 gap（%）,1.3580990805995752
关闭重启与下界保护,第三个 GP 表达式,2-opt 后路径平均 gap（%）,0.7643848955032211
关闭重启与下界保护,第三个 GP 表达式,构造路径最优 gap（%）,1.0225026838686249
关闭重启与下界保护,第三个 GP 表达式,2-opt 后本轮最优 gap（%）,0.7034155984777676
关闭重启与下界保护,第三个 GP 表达式,构造路径较优七条平均 gap（%）,1.0828362972724261
关闭重启与下界保护,第三个 GP 表达式,2-opt 后较优七条平均 gap（%）,0.7181222659502308
关闭重启与下界保护,第三个 GP 表达式,同轮同来源内更新树输出的标准差,0.01753970865956524
关闭重启与下界保护,第三个 GP 表达式,更新树输出饱和比例,0.0020519875
关闭重启与下界保护,第三个 GP 表达式,2-opt 平均改进（百分点）,0.5937150079340777
关闭重启与下界保护,第三个 GP 表达式,同一路径经 2-opt 后的边保留率,0.995113970390625
关闭重启与下界保护,第三个 GP 表达式,每百轮改进全局最优的次数,0.5905
关闭重启与下界保护,第三个 GP 表达式,信息素下界触发比例,0.0
关闭重启与下界保护,第三个 GP 表达式,每百轮重启次数,0.0
关闭重启与下界保护,第三个 GP 表达式,每轮硬上界裁剪次数,0.0
关闭重启与下界保护,三个 GP 表达式均值,实际强化路径的平均 gap（%）,0.6867550742314316
关闭重启与下界保护,三个 GP 表达式均值,强化路径优于本轮最优路径的幅度（百分点）,0.0016495241000427966
关闭重启与下界保护,三个 GP 表达式均值,强化路径年龄（轮）,2288.961782916667
关闭重启与下界保护,三个 GP 表达式均值,用于历史来源的预算比例,0.9678
关闭重启与下界保护,三个 GP 表达式均值,构造路径平均 gap（%）,1.2799012141913715
关闭重启与下界保护,三个 GP 表达式均值,2-opt 后路径平均 gap（%）,0.7445350262254624
关闭重启与下界保护,三个 GP 表达式均值,构造路径最优 gap（%）,0.9725824984764508
关闭重启与下界保护,三个 GP 表达式均值,2-opt 后本轮最优 gap（%）,0.6884045983314743
关闭重启与下界保护,三个 GP 表达式均值,构造路径较优七条平均 gap（%）,1.0283767465874112
关闭重启与下界保护,三个 GP 表达式均值,2-opt 后较优七条平均 gap（%）,0.7017914844939539
关闭重启与下界保护,三个 GP 表达式均值,同轮同来源内更新树输出的标准差,0.016340255363387145
关闭重启与下界保护,三个 GP 表达式均值,更新树输出饱和比例,0.39934339
关闭重启与下界保护,三个 GP 表达式均值,2-opt 平均改进（百分点）,0.5353671806902787
关闭重启与下界保护,三个 GP 表达式均值,同一路径经 2-opt 后的边保留率,0.9955687440104166
关闭重启与下界保护,三个 GP 表达式均值,每百轮改进全局最优的次数,0.593875
关闭重启与下界保护,三个 GP 表达式均值,信息素下界触发比例,0.0
关闭重启与下界保护,三个 GP 表达式均值,每百轮重启次数,0.0
关闭重启与下界保护,三个 GP 表达式均值,每轮硬上界裁剪次数,0.0
关闭上述三个组件,不使用 GP,实际强化路径的平均 gap（%）,1.034348322438316
关闭上述三个组件,不使用 GP,强化路径优于本轮最优路径的幅度（百分点）,0.0
关闭上述三个组件,不使用 GP,强化路径年龄（轮）,0.0
关闭上述三个组件,不使用 GP,用于历史来源的预算比例,0.0
