配置,模型,指标,均值
完整 MMAS,第三个 GP 表达式,每百轮改进全局最优的次数,1.058625
完整 MMAS,第三个 GP 表达式,信息素下界触发比例,0.8442861981249998
完整 MMAS,第三个 GP 表达式,每百轮重启次数,0.143625
完整 MMAS,第三个 GP 表达式,每轮硬上界裁剪次数,0.0
完整 MMAS,三个 GP 表达式均值,实际强化路径的平均 gap（%）,0.8125615713906897
完整 MMAS,三个 GP 表达式均值,强化路径优于本轮最优路径的幅度（百分点）,0.02465500518049058
完整 MMAS,三个 GP 表达式均值,强化路径年龄（轮）,451.7757645833334
完整 MMAS,三个 GP 表达式均值,用于历史来源的预算比例,0.7439358333333332
完整 MMAS,三个 GP 表达式均值,构造路径平均 gap（%）,7.9901568701920205
完整 MMAS,三个 GP 表达式均值,2-opt 后路径平均 gap（%）,1.555305621400642
完整 MMAS,三个 GP 表达式均值,构造路径最优 gap（%）,3.399640162675853
完整 MMAS,三个 GP 表达式均值,2-opt 后本轮最优 gap（%）,0.8372165765711802
完整 MMAS,三个 GP 表达式均值,构造路径较优七条平均 gap（%）,4.0324965863032425
完整 MMAS,三个 GP 表达式均值,2-opt 后较优七条平均 gap（%）,0.9660335815344769
完整 MMAS,三个 GP 表达式均值,同轮同来源内更新树输出的标准差,0.13673101033329157
完整 MMAS,三个 GP 表达式均值,更新树输出饱和比例,0.37755239
完整 MMAS,三个 GP 表达式均值,2-opt 平均改进（百分点）,6.434851461596986
完整 MMAS,三个 GP 表达式均值,同一路径经 2-opt 后的边保留率,0.9517126946875001
完整 MMAS,三个 GP 表达式均值,每百轮改进全局最优的次数,1.0541666666666667
完整 MMAS,三个 GP 表达式均值,信息素下界触发比例,0.8450980452499999
完整 MMAS,三个 GP 表达式均值,每百轮重启次数,0.145625
完整 MMAS,三个 GP 表达式均值,每轮硬上界裁剪次数,0.0
仅关闭历史路径强化,不使用 GP,实际强化路径的平均 gap（%）,2.431495843933902
仅关闭历史路径强化,不使用 GP,强化路径优于本轮最优路径的幅度（百分点）,0.0
仅关闭历史路径强化,不使用 GP,强化路径年龄（轮）,0.0
仅关闭历史路径强化,不使用 GP,用于历史来源的预算比例,0.0
仅关闭历史路径强化,不使用 GP,构造路径平均 gap（%）,17.49620129034711
仅关闭历史路径强化,不使用 GP,2-opt 后路径平均 gap（%）,4.0082968039310884
仅关闭历史路径强化,不使用 GP,构造路径最优 gap（%）,11.263766043956212
仅关闭历史路径强化,不使用 GP,2-opt 后本轮最优 gap（%）,2.431495843933902
仅关闭历史路径强化,不使用 GP,构造路径较优七条平均 gap（%）,13.044719108860372
仅关闭历史路径强化,不使用 GP,2-opt 后较优七条平均 gap（%）,2.916975093428615
仅关闭历史路径强化,不使用 GP,同轮同来源内更新树输出的标准差,0.0
仅关闭历史路径强化,不使用 GP,更新树输出饱和比例,0.0
仅关闭历史路径强化,不使用 GP,2-opt 平均改进（百分点）,13.487904690650224
仅关闭历史路径强化,不使用 GP,同一路径经 2-opt 后的边保留率,0.8676852260156249
仅关闭历史路径强化,不使用 GP,每百轮改进全局最优的次数,0.730375
仅关闭历史路径强化,不使用 GP,信息素下界触发比例,0.8151078001250001
仅关闭历史路径强化,不使用 GP,每百轮重启次数,0.05
仅关闭历史路径强化,不使用 GP,每轮硬上界裁剪次数,0.0
仅关闭历史路径强化,第一个 GP 表达式,实际强化路径的平均 gap（%）,1.0196931822297841
仅关闭历史路径强化,第一个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,0.0
仅关闭历史路径强化,第一个 GP 表达式,强化路径年龄（轮）,0.0
仅关闭历史路径强化,第一个 GP 表达式,用于历史来源的预算比例,0.0
仅关闭历史路径强化,第一个 GP 表达式,构造路径平均 gap（%）,8.9169613679716
仅关闭历史路径强化,第一个 GP 表达式,2-opt 后路径平均 gap（%）,1.8233883841946261
仅关闭历史路径强化,第一个 GP 表达式,构造路径最优 gap（%）,3.789680118231582
仅关闭历史路径强化,第一个 GP 表达式,2-opt 后本轮最优 gap（%）,1.0196931822297841
仅关闭历史路径强化,第一个 GP 表达式,构造路径较优七条平均 gap（%）,4.493389236883855
仅关闭历史路径强化,第一个 GP 表达式,2-opt 后较优七条平均 gap（%）,1.163263410562632
仅关闭历史路径强化,第一个 GP 表达式,同轮同来源内更新树输出的标准差,0.15929537846036454
仅关闭历史路径强化,第一个 GP 表达式,更新树输出饱和比例,0.19555283999999998
仅关闭历史路径强化,第一个 GP 表达式,2-opt 平均改进（百分点）,7.093573291488319
仅关闭历史路径强化,第一个 GP 表达式,同一路径经 2-opt 后的边保留率,0.9467955333593749
仅关闭历史路径强化,第一个 GP 表达式,每百轮改进全局最优的次数,0.925125
仅关闭历史路径强化,第一个 GP 表达式,信息素下界触发比例,0.8475904759999999
