state_owner,snapshot_iteration,source,phase,instance,deposit_l1_over_budget,source_edge_tau_l1_over_two_budget,global_tau_relative_l1
GP 表达式自身产生的状态,100,历史重启阶段最优路径,沉积后,7,0.0645100509202451,0.06451007291349577,5.58200287710032e-05
GP 表达式自身产生的状态,100,历史重启阶段最优路径,蒸发和下界保护后,0,0.029391147999714515,0.0,0.0
GP 表达式自身产生的状态,100,历史重启阶段最优路径,蒸发和下界保护后,1,0.023897222504331,0.0,0.0
GP 表达式自身产生的状态,100,历史重启阶段最优路径,蒸发和下界保护后,2,0.02726654773526875,0.0,0.0
GP 表达式自身产生的状态,100,历史重启阶段最优路径,蒸发和下界保护后,3,0.0419258555706705,0.0,0.0
GP 表达式自身产生的状态,100,历史重启阶段最优路径,蒸发和下界保护后,4,0.018357953429585145,0.0,0.0
GP 表达式自身产生的状态,100,历史重启阶段最优路径,蒸发和下界保护后,5,0.045084731601899415,0.0,0.0
GP 表达式自身产生的状态,100,历史重启阶段最优路径,蒸发和下界保护后,6,0.01989450510658411,0.0,0.0
GP 表达式自身产生的状态,100,历史重启阶段最优路径,蒸发和下界保护后,7,0.0645100509202451,0.0,0.0
GP 表达式自身产生的状态,100,历史重启阶段最优路径,重启和可选上界处理后,0,0.029391147999714515,0.029391130755520342,2.5797585113545042e-05
GP 表达式自身产生的状态,100,历史重启阶段最优路径,重启和可选上界处理后,1,0.023897222504331,0.023897273758746708,2.0929521799903547e-05
GP 表达式自身产生的状态,100,历史重启阶段最优路径,重启和可选上界处理后,2,0.02726654773526875,0.027266531888507653,2.4222696549233327e-05
GP 表达式自身产生的状态,100,历史重启阶段最优路径,重启和可选上界处理后,3,0.0419258555706705,0.04192586422953361,3.6559576565517315e-05
GP 表达式自身产生的状态,100,历史重启阶段最优路径,重启和可选上界处理后,4,0.018357953429585145,0.018357933618187453,1.6117372317872633e-05
GP 表达式自身产生的状态,100,历史重启阶段最优路径,重启和可选上界处理后,5,0.045084731601899415,0.04508473968039342,3.894207078438765e-05
GP 表达式自身产生的状态,100,历史重启阶段最优路径,重启和可选上界处理后,6,0.01989450510658411,0.01989450726851194,1.743224227992734e-05
GP 表达式自身产生的状态,100,历史重启阶段最优路径,重启和可选上界处理后,7,0.0645100509202451,0.06451007291349577,5.58200287710032e-05
GP 表达式自身产生的状态,100,本轮最优路径,更新前,0,0.02940138889838711,0.0,0.0
GP 表达式自身产生的状态,100,本轮最优路径,更新前,1,0.037200550283456785,0.0,0.0
GP 表达式自身产生的状态,100,本轮最优路径,更新前,2,0.029692153038289554,0.0,0.0
GP 表达式自身产生的状态,100,本轮最优路径,更新前,3,0.04736949437627,0.0,0.0
GP 表达式自身产生的状态,100,本轮最优路径,更新前,4,0.021174020109466462,0.0,0.0
GP 表达式自身产生的状态,100,本轮最优路径,更新前,5,0.052701229592628594,0.0,0.0
GP 表达式自身产生的状态,100,本轮最优路径,更新前,6,0.024801597594891176,0.0,0.0
GP 表达式自身产生的状态,100,本轮最优路径,更新前,7,0.07202988948168318,0.0,0.0
GP 表达式自身产生的状态,100,本轮最优路径,沉积后,0,0.02940138889838711,0.029401365788284846,2.5775901311615718e-05
GP 表达式自身产生的状态,100,本轮最优路径,沉积后,1,0.037200550283456785,0.03720054564039779,3.257528201631312e-05
GP 表达式自身产生的状态,100,本轮最优路径,沉积后,2,0.029692153038289554,0.029692132336350114,2.6360830928701898e-05
GP 表达式自身产生的状态,100,本轮最优路径,沉积后,3,0.04736949437627,0.04736951402405888,4.13235710386375e-05
GP 表达式自身产生的状态,100,本轮最优路径,沉积后,4,0.021174020109466462,0.021174033796696308,1.8587403675093125e-05
GP 表达式自身产生的状态,100,本轮最优路径,沉积后,5,0.052701229592628594,0.05270121541422802,4.537091177113716e-05
GP 表达式自身产生的状态,100,本轮最优路径,沉积后,6,0.024801597594891176,0.024801589614517994,2.173529176804701e-05
GP 表达式自身产生的状态,100,本轮最优路径,沉积后,7,0.07202988948168318,0.07202990139037507,6.230488586160338e-05
GP 表达式自身产生的状态,100,本轮最优路径,蒸发和下界保护后,0,0.02940138889838711,0.0,0.0
GP 表达式自身产生的状态,100,本轮最优路径,蒸发和下界保护后,1,0.037200550283456785,0.0,0.0
GP 表达式自身产生的状态,100,本轮最优路径,蒸发和下界保护后,2,0.029692153038289554,0.0,0.0
GP 表达式自身产生的状态,100,本轮最优路径,蒸发和下界保护后,3,0.04736949437627,0.0,0.0
GP 表达式自身产生的状态,100,本轮最优路径,蒸发和下界保护后,4,0.021174020109466462,0.0,0.0
GP 表达式自身产生的状态,100,本轮最优路径,蒸发和下界保护后,5,0.052701229592628594,0.0,0.0
GP 表达式自身产生的状态,100,本轮最优路径,蒸发和下界保护后,6,0.024801597594891176,0.0,0.0
GP 表达式自身产生的状态,100,本轮最优路径,蒸发和下界保护后,7,0.07202988948168318,0.0,0.0
GP 表达式自身产生的状态,100,本轮最优路径,重启和可选上界处理后,0,0.02940138889838711,0.029401365788284846,2.5775901311615718e-05
GP 表达式自身产生的状态,100,本轮最优路径,重启和可选上界处理后,1,0.037200550283456785,0.03720054564039779,3.257528201631312e-05
GP 表达式自身产生的状态,100,本轮最优路径,重启和可选上界处理后,2,0.029692153038289554,0.029692132336350114,2.6360830928701898e-05
GP 表达式自身产生的状态,100,本轮最优路径,重启和可选上界处理后,3,0.04736949437627,0.04736951402405888,4.13235710386375e-05
