state_owner,snapshot_iteration,historical_source,update_rule,instance,affected_probability_tv,unaffected_probability_tv
GP 表达式自身产生的状态,100,历史重启阶段最优路径,GP 源内重加权,7,0.06397056590860327,5.742522273449729e-05
GP 表达式自身产生的状态,100,历史重启阶段最优路径,来源内均匀沉积,0,0.16168863725610688,6.673613339583533e-10
GP 表达式自身产生的状态,100,历史重启阶段最优路径,来源内均匀沉积,1,0.06896047312626245,3.410843237301824e-10
GP 表达式自身产生的状态,100,历史重启阶段最优路径,来源内均匀沉积,2,0.05837188336939954,1.1040112384258473e-10
GP 表达式自身产生的状态,100,历史重启阶段最优路径,来源内均匀沉积,3,0.11086424228075924,4.3723775189685557e-10
GP 表达式自身产生的状态,100,历史重启阶段最优路径,来源内均匀沉积,4,0.07619296477547477,2.781683193212461e-10
GP 表达式自身产生的状态,100,历史重启阶段最优路径,来源内均匀沉积,5,0.07720193077188715,3.641444311912888e-10
GP 表达式自身产生的状态,100,历史重启阶段最优路径,来源内均匀沉积,6,nan,2.8588656674027095e-10
GP 表达式自身产生的状态,100,历史重启阶段最优路径,来源内均匀沉积,7,0.09274389679209034,6.734618001007341e-10
GP 表达式自身产生的状态,250,历史全局最优路径,GP 源内重加权,0,nan,4.4720151068810764e-08
GP 表达式自身产生的状态,250,历史全局最优路径,GP 源内重加权,1,nan,2.174684768158911e-09
GP 表达式自身产生的状态,250,历史全局最优路径,GP 源内重加权,2,nan,4.1210881403823956e-07
GP 表达式自身产生的状态,250,历史全局最优路径,GP 源内重加权,3,nan,5.393526012328311e-07
GP 表达式自身产生的状态,250,历史全局最优路径,GP 源内重加权,4,nan,1.6845293377096574e-07
GP 表达式自身产生的状态,250,历史全局最优路径,GP 源内重加权,5,nan,6.2488607829439375e-09
GP 表达式自身产生的状态,250,历史全局最优路径,GP 源内重加权,6,nan,2.5267999888429467e-07
GP 表达式自身产生的状态,250,历史全局最优路径,GP 源内重加权,7,nan,3.680150589678811e-08
GP 表达式自身产生的状态,250,历史全局最优路径,来源内均匀沉积,0,nan,0.0
GP 表达式自身产生的状态,250,历史全局最优路径,来源内均匀沉积,1,nan,0.0
GP 表达式自身产生的状态,250,历史全局最优路径,来源内均匀沉积,2,nan,0.0
GP 表达式自身产生的状态,250,历史全局最优路径,来源内均匀沉积,3,nan,5.364949060826226e-10
GP 表达式自身产生的状态,250,历史全局最优路径,来源内均匀沉积,4,nan,0.0
GP 表达式自身产生的状态,250,历史全局最优路径,来源内均匀沉积,5,nan,1.7019015773655878e-10
GP 表达式自身产生的状态,250,历史全局最优路径,来源内均匀沉积,6,nan,1.1236595644510292e-11
GP 表达式自身产生的状态,250,历史全局最优路径,来源内均匀沉积,7,nan,0.0
GP 表达式自身产生的状态,250,历史重启阶段最优路径,GP 源内重加权,0,nan,4.4720151068810764e-08
GP 表达式自身产生的状态,250,历史重启阶段最优路径,GP 源内重加权,1,nan,2.174684768158911e-09
GP 表达式自身产生的状态,250,历史重启阶段最优路径,GP 源内重加权,2,nan,4.1210881403823956e-07
GP 表达式自身产生的状态,250,历史重启阶段最优路径,GP 源内重加权,3,nan,5.393526012328311e-07
GP 表达式自身产生的状态,250,历史重启阶段最优路径,GP 源内重加权,4,nan,1.6845293377096574e-07
GP 表达式自身产生的状态,250,历史重启阶段最优路径,GP 源内重加权,5,nan,6.2488607829439375e-09
GP 表达式自身产生的状态,250,历史重启阶段最优路径,GP 源内重加权,6,nan,2.5267999888429467e-07
GP 表达式自身产生的状态,250,历史重启阶段最优路径,GP 源内重加权,7,nan,3.680150589678811e-08
GP 表达式自身产生的状态,250,历史重启阶段最优路径,来源内均匀沉积,0,nan,0.0
GP 表达式自身产生的状态,250,历史重启阶段最优路径,来源内均匀沉积,1,nan,0.0
GP 表达式自身产生的状态,250,历史重启阶段最优路径,来源内均匀沉积,2,nan,0.0
GP 表达式自身产生的状态,250,历史重启阶段最优路径,来源内均匀沉积,3,nan,5.364949060826226e-10
GP 表达式自身产生的状态,250,历史重启阶段最优路径,来源内均匀沉积,4,nan,0.0
GP 表达式自身产生的状态,250,历史重启阶段最优路径,来源内均匀沉积,5,nan,1.7019015773655878e-10
GP 表达式自身产生的状态,250,历史重启阶段最优路径,来源内均匀沉积,6,nan,1.1236595644510292e-11
GP 表达式自身产生的状态,250,历史重启阶段最优路径,来源内均匀沉积,7,nan,0.0
GP 表达式自身产生的状态,500,历史全局最优路径,GP 源内重加权,0,nan,9.545555592973634e-10
GP 表达式自身产生的状态,500,历史全局最优路径,GP 源内重加权,1,nan,1.806074021968735e-09
GP 表达式自身产生的状态,500,历史全局最优路径,GP 源内重加权,2,nan,1.6821841535673528e-09
GP 表达式自身产生的状态,500,历史全局最优路径,GP 源内重加权,3,nan,1.64910615945417e-09
GP 表达式自身产生的状态,500,历史全局最优路径,GP 源内重加权,4,0.09762145891468188,7.073444638127656e-07
GP 表达式自身产生的状态,500,历史全局最优路径,GP 源内重加权,5,nan,1.3928694165687858e-09
GP 表达式自身产生的状态,500,历史全局最优路径,GP 源内重加权,6,nan,6.297332011573291e-09
GP 表达式自身产生的状态,500,历史全局最优路径,GP 源内重加权,7,nan,1.0154950869967885e-09
GP 表达式自身产生的状态,500,历史全局最优路径,来源内均匀沉积,0,nan,0.0
GP 表达式自身产生的状态,500,历史全局最优路径,来源内均匀沉积,1,nan,4.2811596778039333e-11
GP 表达式自身产生的状态,500,历史全局最优路径,来源内均匀沉积,2,nan,0.0
GP 表达式自身产生的状态,500,历史全局最优路径,来源内均匀沉积,3,nan,0.0
GP 表达式自身产生的状态,500,历史全局最优路径,来源内均匀沉积,4,0.13508821274188887,0.0
GP 表达式自身产生的状态,500,历史全局最优路径,来源内均匀沉积,5,nan,0.0
GP 表达式自身产生的状态,500,历史全局最优路径,来源内均匀沉积,6,nan,0.0
GP 表达式自身产生的状态,500,历史全局最优路径,来源内均匀沉积,7,nan,0.0
GP 表达式自身产生的状态,500,历史重启阶段最优路径,GP 源内重加权,0,nan,9.545555592973634e-10
GP 表达式自身产生的状态,500,历史重启阶段最优路径,GP 源内重加权,1,nan,1.806074021968735e-09
GP 表达式自身产生的状态,500,历史重启阶段最优路径,GP 源内重加权,2,nan,1.6821841535673528e-09
GP 表达式自身产生的状态,500,历史重启阶段最优路径,GP 源内重加权,3,nan,1.64910615945417e-09
GP 表达式自身产生的状态,500,历史重启阶段最优路径,GP 源内重加权,4,nan,1.821317946706373e-09
GP 表达式自身产生的状态,500,历史重启阶段最优路径,GP 源内重加权,5,nan,1.3928694165687858e-09
GP 表达式自身产生的状态,500,历史重启阶段最优路径,GP 源内重加权,6,nan,6.297332011573291e-09
GP 表达式自身产生的状态,500,历史重启阶段最优路径,GP 源内重加权,7,nan,1.0154950869967885e-09
GP 表达式自身产生的状态,500,历史重启阶段最优路径,来源内均匀沉积,0,nan,0.0
GP 表达式自身产生的状态,500,历史重启阶段最优路径,来源内均匀沉积,1,nan,4.2811596778039333e-11
GP 表达式自身产生的状态,500,历史重启阶段最优路径,来源内均匀沉积,2,nan,0.0
GP 表达式自身产生的状态,500,历史重启阶段最优路径,来源内均匀沉积,3,nan,0.0
GP 表达式自身产生的状态,500,历史重启阶段最优路径,来源内均匀沉积,4,nan,0.0
GP 表达式自身产生的状态,500,历史重启阶段最优路径,来源内均匀沉积,5,nan,0.0
GP 表达式自身产生的状态,500,历史重启阶段最优路径,来源内均匀沉积,6,nan,0.0
GP 表达式自身产生的状态,500,历史重启阶段最优路径,来源内均匀沉积,7,nan,0.0
GP 表达式自身产生的状态,1000,历史全局最优路径,GP 源内重加权,0,0.045369714592725895,1.1614097889677832e-05
GP 表达式自身产生的状态,1000,历史全局最优路径,GP 源内重加权,1,0.07769620930033663,1.4605199256630633e-05
GP 表达式自身产生的状态,1000,历史全局最优路径,GP 源内重加权,2,0.11174782458925148,1.001466230503336e-05
GP 表达式自身产生的状态,1000,历史全局最优路径,GP 源内重加权,3,0.04664202985516281,2.0701882766478272e-06
GP 表达式自身产生的状态,1000,历史全局最优路径,GP 源内重加权,4,0.03048719487392883,7.918882705270417e-07
GP 表达式自身产生的状态,1000,历史全局最优路径,GP 源内重加权,5,nan,1.7647409811016625e-06
GP 表达式自身产生的状态,1000,历史全局最优路径,GP 源内重加权,6,0.027237235943600027,1.6551793347280801e-06
GP 表达式自身产生的状态,1000,历史全局最优路径,GP 源内重加权,7,0.06685012158109746,1.5742960958094656e-05
GP 表达式自身产生的状态,1000,历史全局最优路径,来源内均匀沉积,0,0.06339680698692816,3.146964160860423e-10
GP 表达式自身产生的状态,1000,历史全局最优路径,来源内均匀沉积,1,0.1175265143012573,3.5542421742460773e-10
GP 表达式自身产生的状态,1000,历史全局最优路径,来源内均匀沉积,2,0.1632488039795883,4.749183823063591e-12
GP 表达式自身产生的状态,1000,历史全局最优路径,来源内均匀沉积,3,0.05821069416467013,2.7352174346046677e-10
GP 表达式自身产生的状态,1000,历史全局最优路径,来源内均匀沉积,4,0.04848005808175137,1.8228632667587298e-10
GP 表达式自身产生的状态,1000,历史全局最优路径,来源内均匀沉积,5,nan,9.928046146416881e-13
