state_owner,snapshot_iteration,continuation_iterations,instance,原生来源下 GP 增益（百分点）,仅本轮最优来源下 GP 增益（百分点）,移除历史来源后 GP 增益变化（百分点）,仅构造决策树的增益（百分点）,仅信息素更新树的增益（百分点）
不使用 GP 产生的状态,2500,25,1,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,2500,25,2,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,2500,25,3,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,2500,25,4,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,2500,25,5,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,2500,25,6,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,2500,25,7,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,2500,100,0,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,2500,100,1,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,2500,100,2,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,2500,100,3,0.0015891349764836822,0.0004571309748044625,-0.0011320040016792197,0.0015891349764836822,0.0
不使用 GP 产生的状态,2500,100,4,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,2500,100,5,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,2500,100,6,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,2500,100,7,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,2500,500,0,0.01101818812960293,0.0,-0.01101818812960293,0.0,0.01101818812960293
不使用 GP 产生的状态,2500,500,1,0.01726759999073963,0.004350103537290965,-0.012917496453448665,0.011699435522882773,0.0
不使用 GP 产生的状态,2500,500,2,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,2500,500,3,-0.019991305722238333,-0.004350320255591061,0.015640985466647273,-0.019991305722238333,-0.0040270539855841786
不使用 GP 产生的状态,2500,500,4,-0.024959187805243904,-0.0017353429970186813,0.02322384480822522,-0.008319729268414634,-0.01700050074899077
不使用 GP 产生的状态,2500,500,5,0.0,0.0,0.0,0.0,0.0
不使用 GP 产生的状态,2500,500,6,-2.4671622769447922e-15,0.0,2.4671622769447922e-15,-2.4671622769447922e-15,0.0
不使用 GP 产生的状态,2500,500,7,0.014227264908292823,0.0,-0.014227264908292823,-0.0022986659576377613,0.03420622323250861
各 GP 表达式自身产生的状态,1,1,0,0.01538565092298574,0.01538565092298574,0.0,0.01538565092298574,0.0
各 GP 表达式自身产生的状态,1,1,1,-0.11210297216213386,-0.11210297216213386,0.0,-0.11210297216213386,0.0
各 GP 表达式自身产生的状态,1,1,2,0.06862115497133657,0.06862115497133657,0.0,0.06862115497133657,0.0
各 GP 表达式自身产生的状态,1,1,3,-0.0015394745084693381,-0.0015394745084693381,0.0,-0.0015394745084693381,0.0
各 GP 表达式自身产生的状态,1,1,4,0.11047356803105905,0.11047356803105905,0.0,0.11047356803105905,0.0
各 GP 表达式自身产生的状态,1,1,5,0.06749120829473802,0.06749120829473802,0.0,0.06749120829473802,0.0
各 GP 表达式自身产生的状态,1,1,6,0.17264517174841268,0.17264517174841268,0.0,0.17264517174841268,0.0
各 GP 表达式自身产生的状态,1,1,7,0.10746866282046093,0.10746866282046093,0.0,0.10746866282046093,0.0
各 GP 表达式自身产生的状态,1,25,0,0.321237864158065,0.3931239782711716,0.07188611411310664,0.2538202492120161,-0.07702963641682795
各 GP 表达式自身产生的状态,1,25,1,0.4773573259977182,0.4482704943279082,-0.02908683166980995,0.09117535026150511,0.3346437458712708
各 GP 表达式自身产生的状态,1,25,2,0.32988644435178277,0.28482601760086496,-0.04506042675091779,0.15071926915881415,0.285148377144077
各 GP 表达式自身产生的状态,1,25,3,0.41121032203580804,0.5928988743231001,0.18168855228729205,0.19645426477711897,0.18290587042632842
各 GP 表达式自身产生的状态,1,25,4,0.3740265646140519,0.4889002440467872,0.11487367943273528,0.21520568765216216,0.04370786092571984
各 GP 表达式自身产生的状态,1,25,5,0.7771870909980895,0.7129078207851839,-0.06427927021290555,0.22152702975449431,0.6337971847346956
各 GP 表达式自身产生的状态,1,25,6,0.4789555533144603,0.44759180910652524,-0.031363744207935085,0.07855786433559578,0.19895193579850565
各 GP 表达式自身产生的状态,1,25,7,0.7995996902107826,0.6046423198797064,-0.1949573703310762,0.14336618412394111,0.5540522546380662
各 GP 表达式自身产生的状态,1,100,0,1.1968288544486232,1.763211765529989,0.5663829110813657,0.18252702614290536,1.1294908049673542
各 GP 表达式自身产生的状态,1,100,1,0.7037978055674509,1.1431756070879724,0.43937780152052164,0.2628002816062791,0.5812038797952458
各 GP 表达式自身产生的状态,1,100,2,1.3323249382546316,1.3215446654983545,-0.01078027275627718,0.4835134224826904,1.108409338920846
各 GP 表达式自身产生的状态,1,100,3,1.0712374156620013,1.3396700721183608,0.26843265645635955,0.30870602267127656,0.7862347163779364
各 GP 表达式自身产生的状态,1,100,4,1.2125121089259625,1.6469093592029378,0.4343972502769756,0.36454252294373873,1.1422036940752278
各 GP 表达式自身产生的状态,1,100,5,1.3585439636245984,1.344626000846088,-0.01391796277851033,0.3476589757873189,1.2476706835728695
各 GP 表达式自身产生的状态,1,100,6,1.3661788436412772,1.7037273626636085,0.33754851902233113,0.25654786504773797,1.1298628244359032
各 GP 表达式自身产生的状态,1,100,7,1.0496006986132325,0.7558900797280598,-0.29371061888517286,0.37532385296596726,0.7914273004269858
各 GP 表达式自身产生的状态,1,500,0,-0.017689058222510507,0.6575052929219573,0.6751943511444678,-0.056133473262567596,-0.005028156418348158
各 GP 表达式自身产生的状态,1,500,1,-0.11104492219226664,1.4182524792808584,1.5292974014731249,-0.0015831566115324474,-0.03897095613573468
各 GP 表达式自身产生的状态,1,500,2,-0.02281343988999534,0.24338536944718608,0.26619880933718143,-0.07759970226093563,-0.01935205306933252
各 GP 表达式自身产生的状态,1,500,3,0.0700446440897457,1.4583741937109689,1.3883295496212231,-0.00873099862632978,0.014214548076589098
各 GP 表达式自身产生的状态,1,500,4,0.142821278421448,-0.05577404642072015,-0.19859532484216816,0.0064155337929052945,0.13710100525902774
各 GP 表达式自身产生的状态,1,500,5,0.08576048376412398,2.0495048908195965,1.9637444070554726,-0.010061586836195168,0.10121007622310657
各 GP 表达式自身产生的状态,1,500,6,0.0558823402214322,1.1862211974075716,1.1303388571861392,-0.0134663319448484,0.08180200989290991
各 GP 表达式自身产生的状态,1,500,7,0.09673553464598268,1.9601275988583302,1.8633920642123474,-0.02395930291440893,0.12799907225397403
各 GP 表达式自身产生的状态,100,1,0,-0.0002900289522544952,-0.0002900289522544952,0.0,-0.0002900289522544952,0.0
各 GP 表达式自身产生的状态,100,1,1,0.0073840659043700185,0.0073840659043700185,0.0,0.0073840659043700185,0.0
各 GP 表达式自身产生的状态,100,1,2,-0.0022202675365691326,-0.0022202675365691326,0.0,-0.0022202675365691326,0.0
各 GP 表达式自身产生的状态,100,1,3,-0.0006264859041908247,-0.0006264859041908247,0.0,-0.0006264859041908247,0.0
各 GP 表达式自身产生的状态,100,1,4,-0.0028917647855002887,-0.0028917647855002887,0.0,-0.0028917647855002887,0.0
各 GP 表达式自身产生的状态,100,1,5,0.0,0.0,0.0,0.0,0.0
各 GP 表达式自身产生的状态,100,1,6,0.0024231635840433873,0.0024231635840433873,0.0,0.0024231635840433873,0.0
各 GP 表达式自身产生的状态,100,1,7,0.005607821552157234,0.005607821552157234,0.0,0.005607821552157234,0.0
各 GP 表达式自身产生的状态,100,25,0,-0.03573772682486314,0.05704972155987272,0.09278744838473586,0.01219789907606936,-0.03635628414781797
各 GP 表达式自身产生的状态,100,25,1,0.02769939989874823,0.058086554338516234,0.030387154439768003,-0.030986817853100805,0.029090619017679842
各 GP 表达式自身产生的状态,100,25,2,-0.005843899510243272,0.0019846473081940198,0.00782854681843729,-0.02153594779640154,0.007174765415550609
各 GP 表达式自身产生的状态,100,25,3,0.024035666519315078,0.317467911912613,0.29343224539329793,0.03973092110276028,0.016910026031813352
各 GP 表达式自身产生的状态,100,25,4,-0.011183068547474898,-0.027233086376949385,-0.016050017829474485,-0.01968872322351483,0.02216888165254992
各 GP 表达式自身产生的状态,100,25,5,0.05936597192662201,0.3180641939820668,0.2586982220554448,-0.009086988373087202,0.05000457061733342
各 GP 表达式自身产生的状态,100,25,6,0.02616676485814256,0.018241763870806435,-0.007925000987336124,-0.012538432303396994,0.042714145985245366
