behavior,iteration,metric,mean,point_low,point_high,instances
三个固定 GP 表达式的均值,1,candidate_entropy,9.207700337242974,9.207683448594258,9.20771791570343,8
三个固定 GP 表达式的均值,1,candidate_effective_arcs,9973.634494254435,9973.467259665424,9973.812570486538,8
三个固定 GP 表达式的均值,1,candidate_gini,0.02215972187290027,0.02208069533165021,0.02223715451983744,8
三个固定 GP 表达式的均值,1,top500_mass,0.06295470305266343,0.06290460222174589,0.06300767640209654,8
三个固定 GP 表达式的均值,1,top2500_mass,0.2682346373192439,0.26816879954846967,0.26829921284546043,8
三个固定 GP 表达式的均值,1,floor_fraction,0.0,0.0,0.0,8
三个固定 GP 表达式的均值,1,source_edge_lift,1.219324825677114,1.218688615806522,1.2199782856798427,8
三个固定 GP 表达式的均值,1,current_best_edge_lift,1.219324825677114,1.2186681168030264,1.2199796466290762,8
三个固定 GP 表达式的均值,1,global_best_edge_lift,1.219324825677114,1.2186839781123218,1.2199738766507262,8
三个固定 GP 表达式的均值,1,reference_edge_lift,1.1658837180669634,1.1643141857647166,1.1675534750068313,8
三个固定 GP 表达式的均值,1,source_age,0.0,0.0,0.0,8
三个固定 GP 表达式的均值,1,post_unique_tours,32.0,32.0,32.0,8
三个固定 GP 表达式的均值,25,candidate_entropy,7.346276717340961,7.341981941246388,7.3501423504535595,8
三个固定 GP 表达式的均值,25,candidate_effective_arcs,1550.582539601674,1543.988689286642,1556.6247557624629,8
三个固定 GP 表达式的均值,25,candidate_gini,0.8654300906535423,0.8652088356567657,0.8656622887128862,8
三个固定 GP 表达式的均值,25,top500_mass,0.26335299116010213,0.25199243346406847,0.2748078094441826,8
三个固定 GP 表达式的均值,25,top2500_mass,0.9731318936852151,0.9730605678492529,0.97321043809311,8
三个固定 GP 表达式的均值,25,floor_fraction,0.0,0.0,0.0,8
三个固定 GP 表达式的均值,25,source_edge_lift,8.383954221075921,8.346567275585429,8.418030756121595,8
三个固定 GP 表达式的均值,25,current_best_edge_lift,7.937434924562178,7.876048489084968,8.009274637445815,8
三个固定 GP 表达式的均值,25,global_best_edge_lift,8.383954221075921,8.345941124571265,8.417168631548957,8
三个固定 GP 表达式的均值,25,reference_edge_lift,8.026665370697321,7.971555850912852,8.080423856079506,8
三个固定 GP 表达式的均值,25,top500_persistence,0.44217655474581014,0.4315625697414662,0.4527193839407445,8
三个固定 GP 表达式的均值,25,source_age,3.236111111111111,2.513888888888889,3.9027777777777777,8
三个固定 GP 表达式的均值,25,post_unique_tours,32.0,32.0,32.0,8
三个固定 GP 表达式的均值,50,candidate_entropy,7.12690480877729,7.117014807742363,7.136781962256629,8
三个固定 GP 表达式的均值,50,candidate_effective_arcs,1245.5092092174282,1233.3639102064844,1257.3706421758638,8
三个固定 GP 表达式的均值,50,candidate_gini,0.891995896697845,0.8917622980682665,0.8922209909365186,8
三个固定 GP 表达式的均值,50,top500_mass,0.38117555194180347,0.35174376947152397,0.4146345005973223,8
三个固定 GP 表达式的均值,50,top2500_mass,0.9925166846324176,0.9925126870185398,0.9925200624892784,8
三个固定 GP 表达式的均值,50,floor_fraction,0.8075305555555555,0.8039718055555556,0.8108555555555556,8
三个固定 GP 表达式的均值,50,source_edge_lift,9.109631156190712,9.05412989139497,9.167806404309195,8
三个固定 GP 表达式的均值,50,current_best_edge_lift,8.709014584982846,8.635009645493238,8.787521648565665,8
三个固定 GP 表达式的均值,50,global_best_edge_lift,9.109631156190712,9.054438246183402,9.168536724706769,8
三个固定 GP 表达式的均值,50,reference_edge_lift,8.38642271311649,8.285695026733345,8.492493825758645,8
三个固定 GP 表达式的均值,50,top500_persistence,0.5873729698859631,0.5749088706948834,0.5996280091498246,8
三个固定 GP 表达式的均值,50,source_age,5.486111111111111,4.458333333333334,6.625,8
三个固定 GP 表达式的均值,50,post_unique_tours,32.0,32.0,32.0,8
三个固定 GP 表达式的均值,75,candidate_entropy,7.07503826762042,7.058801913702594,7.091354752713537,8
三个固定 GP 表达式的均值,75,candidate_effective_arcs,1183.1156073043596,1164.4405420304868,1203.0022861775628,8
三个固定 GP 表达式的均值,75,candidate_gini,0.8925208661774614,0.89239774965605,0.8926326599646577,8
三个固定 GP 表达式的均值,75,top500_mass,0.4367702115438643,0.4026697190762962,0.4687434908809959,8
三个固定 GP 表达式的均值,75,top2500_mass,0.9925268442439137,0.9925193256625671,0.9925330682798577,8
三个固定 GP 表达式的均值,75,floor_fraction,0.8351541666666666,0.8263552083333333,0.8434222916666667,8
三个固定 GP 表达式的均值,75,source_edge_lift,9.405714965621094,9.328754529147378,9.485997405953707,8
三个固定 GP 表达式的均值,75,current_best_edge_lift,9.168971067443795,9.030054572791332,9.309740335235395,8
三个固定 GP 表达式的均值,75,global_best_edge_lift,9.405714965621094,9.330288957236704,9.486387706539537,8
三个固定 GP 表达式的均值,75,reference_edge_lift,8.44014526801877,8.307299960305526,8.577582092469608,8
三个固定 GP 表达式的均值,75,top500_persistence,0.6191711442828678,0.6134625843144897,0.6246319235139374,8
三个固定 GP 表达式的均值,75,source_age,6.722222222222222,5.388888888888889,8.36111111111111,8
三个固定 GP 表达式的均值,75,post_unique_tours,31.555555555555557,31.055555555555557,31.916666666666668,8
三个固定 GP 表达式的均值,100,candidate_entropy,7.028635408963616,7.0153852000026635,7.04418310239423,8
三个固定 GP 表达式的均值,100,candidate_effective_arcs,1129.3096125853658,1113.799031430743,1146.774035942261,8
三个固定 GP 表达式的均值,100,candidate_gini,0.8923671998298877,0.8922417111069894,0.8924961652305489,8
三个固定 GP 表达式的均值,100,top500_mass,0.47307498780550183,0.45113506950290444,0.48892457994919,8
三个固定 GP 表达式的均值,100,top2500_mass,0.9925438288737036,0.9925366547374853,0.9925499481857988,8
三个固定 GP 表达式的均值,100,floor_fraction,0.8637083333333333,0.8542375,0.8721517013888888,8
三个固定 GP 表达式的均值,100,source_edge_lift,9.609232978115546,9.532738943432964,9.682687475016582,8
三个固定 GP 表达式的均值,100,current_best_edge_lift,9.609232978115546,9.531963758109603,9.682227610061174,8
三个固定 GP 表达式的均值,100,global_best_edge_lift,9.66023464725221,9.598629399674817,9.718017902956218,8
三个固定 GP 表达式的均值,100,reference_edge_lift,8.468800870449556,8.296620005260479,8.64660533602598,8
三个固定 GP 表达式的均值,100,top500_persistence,0.6249837089167194,0.6167023300296338,0.6339274429852386,8
三个固定 GP 表达式的均值,100,source_age,0.0,0.0,0.0,8
三个固定 GP 表达式的均值,100,post_unique_tours,29.75,29.01388888888889,30.430555555555557,8
三个固定 GP 表达式的均值,125,candidate_entropy,7.003160078861409,6.993911354915331,7.014168052219469,8
三个固定 GP 表达式的均值,125,candidate_effective_arcs,1100.6577075765422,1090.1729367244577,1113.6242471545802,8
三个固定 GP 表达式的均值,125,candidate_gini,0.8918647917683926,0.8917023851868213,0.8920471155271615,8
三个固定 GP 表达式的均值,125,top500_mass,0.4919371359329041,0.4860487950693779,0.49760895223141866,8
三个固定 GP 表达式的均值,125,top2500_mass,0.9925536361298284,0.9925467738505579,0.9925583297768913,8
三个固定 GP 表达式的均值,125,floor_fraction,0.8814236111111111,0.8739010069444445,0.8876638888888888,8
三个固定 GP 表达式的均值,125,source_edge_lift,9.771142750454079,9.716662983492682,9.826283941790688,8
三个固定 GP 表达式的均值,125,current_best_edge_lift,9.771142750454079,9.717429153856889,9.826372925715626,8
三个固定 GP 表达式的均值,125,global_best_edge_lift,9.795277067772531,9.7548103582242,9.843648922245315,8
三个固定 GP 表达式的均值,125,reference_edge_lift,8.530019553191728,8.33985023980415,8.737410229991125,8
三个固定 GP 表达式的均值,125,top500_persistence,0.6023702990009756,0.5880122187471372,0.618498272413382,8
三个固定 GP 表达式的均值,125,source_age,0.0,0.0,0.0,8
三个固定 GP 表达式的均值,125,post_unique_tours,26.416666666666664,23.680555555555554,28.63888888888889,8
三个固定 GP 表达式的均值,150,candidate_entropy,6.988174123520858,6.984189801100261,6.993064455014288,8
三个固定 GP 表达式的均值,150,candidate_effective_arcs,1083.8375157195524,1079.4249876822555,1089.3867022415807,8
三个固定 GP 表达式的均值,150,candidate_gini,0.8915700012434131,0.891427412743717,0.8917602532967785,8
三个固定 GP 表达式的均值,150,top500_mass,0.4943830212948942,0.4870253946984306,0.4983969508660708,8
三个固定 GP 表达式的均值,150,top2500_mass,0.9925605761201641,0.9925551929065144,0.9925642034941496,8
三个固定 GP 表达式的均值,150,floor_fraction,0.8919263888888889,0.8878138888888889,0.8952291666666666,8
