replicate,program,instance,behavior,iteration,source_kind,source_current_overlap,source_lift_0,source_lift_1,source_lift_2,source_lift_3,post_unique_tours
0,1,4,三个固定 GP 表达式的均值,50,1,0.836,8.969730209937588,8.951618092125571,9.16265310580435,9.16265310580435,32
0,0,5,不使用 GP,50,1,0.784,8.307712391132434,8.291393381182054,8.633824827917254,8.633824827917254,32
0,1,5,三个固定 GP 表达式的均值,50,1,0.848,8.748877064190038,8.736864437090432,8.991073172771767,8.991073172771767,32
0,0,6,不使用 GP,50,1,0.802,8.250342216701538,8.248744576376678,8.604355097426087,8.604355097426087,32
0,0,7,不使用 GP,50,1,0.776,8.14787164013364,8.140921030889588,8.519434079001421,8.519434079001421,32
0,1,7,三个固定 GP 表达式的均值,50,1,0.8,8.682598504396962,8.694407660216292,8.958257473157072,8.958257473157072,32
0,2,0,三个固定 GP 表达式的均值,75,1,0.936,9.466728740544783,9.446905746908852,9.556965531084465,9.556965531084465,32
0,2,2,三个固定 GP 表达式的均值,75,1,0.954,9.593892673514416,9.573431489374567,9.658255916420256,9.658255916420256,32
0,3,2,三个固定 GP 表达式的均值,75,1,0.858,9.074978528558752,9.056428487012237,9.244780141433832,9.244780141433832,32
0,3,3,三个固定 GP 表达式的均值,75,1,0.852,9.000981079885442,8.982640955511565,9.185723478682148,9.185723478682148,32
0,2,5,三个固定 GP 表达式的均值,75,1,0.902,9.219800213126225,9.200782435838175,9.359663960191435,9.359663960191435,32
0,3,5,三个固定 GP 表达式的均值,75,1,0.852,8.813048813738844,8.79536546601403,9.035939097141378,9.035939097141378,32
0,2,6,三个固定 GP 表达式的均值,75,1,0.966,9.604188112769096,9.588966693482798,9.671833953649852,9.671833953649852,32
0,2,7,三个固定 GP 表达式的均值,75,1,0.944,9.638561117957614,9.657487379244886,9.72764806812761,9.72764806812761,32
0,3,7,三个固定 GP 表达式的均值,75,1,0.834,8.535158695054129,8.518140393645684,8.81661876694536,8.81661876694536,32
0,0,0,不使用 GP,75,1,0.844,8.440262444773156,8.435179837357833,8.752838135843243,8.752838135843243,32
0,1,0,三个固定 GP 表达式的均值,75,1,0.886,9.286724437105837,9.267646596344356,9.413450769337276,9.413450769337276,32
0,0,1,不使用 GP,75,1,0.82,8.463530197927595,8.446664819445846,8.756155796080062,8.756155796080062,32
0,1,1,三个固定 GP 表达式的均值,75,1,0.9,9.314049228535465,9.294817518222779,9.435182832303571,9.435182832303571,32
0,0,2,不使用 GP,75,1,0.786,8.413795619031562,8.39687216572039,8.717383557309036,8.717383557309036,32
0,1,2,三个固定 GP 表达式的均值,75,1,0.898,9.239062205210569,9.220062462150517,9.375333008534755,9.375333008534755,32
0,0,3,不使用 GP,75,1,0.814,8.321970794342828,8.31219127769929,8.65040251670434,8.65040251670434,32
0,1,3,三个固定 GP 表达式的均值,75,1,0.92,9.289173001683414,9.270074522092258,9.416105120351421,9.416105120351421,32
0,0,4,不使用 GP,75,1,0.798,8.391421599071501,8.374607069306059,8.699731043426999,8.699731043426999,32
0,1,4,三个固定 GP 表达式的均值,75,1,0.898,9.369378120841265,9.349976848611188,9.480553458317964,9.480553458317964,32
0,0,5,不使用 GP,75,1,0.836,8.567657232596325,8.55045415050175,8.84068550872463,8.84068550872463,32
0,1,5,三个固定 GP 表达式的均值,75,1,0.874,9.00295167237007,8.992942173858038,9.19527579766029,9.19527579766029,32
0,0,6,不使用 GP,75,1,0.818,8.479077018434824,8.462008926330801,8.768976336016058,8.768976336016058,32
0,1,6,三个固定 GP 表达式的均值,75,1,0.86,9.162946997817606,9.150456377598049,9.322361615420412,9.322361615420412,32
0,0,7,不使用 GP,75,1,0.742,8.308486329327652,8.346178381742044,8.678614008435792,8.678614008435792,32
0,1,7,三个固定 GP 表达式的均值,75,1,0.85,9.187106592694551,9.218327941596804,9.376553361872192,9.376553361872192,32
0,3,0,三个固定 GP 表达式的均值,150,1,0.986,9.835234524681557,9.813681686642678,9.850643564072406,9.850643564072406,32
0,3,2,三个固定 GP 表达式的均值,150,1,0.986,9.7979950336986,9.776563218093692,9.820892859781718,9.820892859781718,32
0,3,3,三个固定 GP 表达式的均值,150,1,0.97,9.786175747349297,9.76458354360384,9.811273620427556,9.811273620427556,27
0,3,5,三个固定 GP 表达式的均值,150,1,0.994,9.771107467393573,9.750120771348492,9.799730760370954,9.799730760370954,32
0,2,7,三个固定 GP 表达式的均值,150,1,0.99,9.840540528750346,9.81865429624244,9.854623026519732,9.854623026519732,19
0,3,7,三个固定 GP 表达式的均值,150,1,0.952,9.583797953994651,9.563483657238486,9.652530961367454,9.652530961367454,32
0,0,0,不使用 GP,150,1,0.946,9.53025489234431,9.510092749406107,9.607525062139723,9.607525062139723,32
0,0,1,不使用 GP,150,1,0.924,9.435556244886842,9.415442803632303,9.53169724605916,9.53169724605916,32
0,1,1,三个固定 GP 表达式的均值,150,1,0.994,9.861861791999587,9.839999616974966,9.871724181787743,9.871724181787743,25
0,0,2,不使用 GP,150,1,0.98,9.640373185964462,9.619651074620009,9.695292822907051,9.695292822907051,32
0,0,5,不使用 GP,150,1,0.952,9.635042714569938,9.614392730816972,9.690968968123931,9.690968968123931,32
0,0,6,不使用 GP,150,1,0.988,9.897809802234766,9.924649530704267,9.941599839795812,9.941599839795812,32
0,3,5,三个固定 GP 表达式的均值,200,1,0.97,9.687613201303655,9.666327696707405,9.73251856214807,9.73251856214807,32
0,3,6,三个固定 GP 表达式的均值,200,1,0.99,9.870200990962205,9.848253441860109,9.880433970249122,9.880433970249122,23
0,0,3,不使用 GP,200,1,0.988,9.737920919109381,9.716555725441516,9.77278506504644,9.77278506504644,32
0,1,6,三个固定 GP 表达式的均值,200,1,0.99,9.87001639756249,9.848053540802205,9.88017543364754,9.88017543364754,22
0,0,7,不使用 GP,200,1,0.964,10.366044986837515,10.512041577203359,10.41219198069409,10.41219198069409,32
0,1,7,三个固定 GP 表达式的均值,200,1,0.992,10.360247694089292,10.459860468662828,10.370683879905743,10.370683879905743,31
0,1,0,三个固定 GP 表达式的均值,250,1,0.994,9.843665766216278,9.821846776575551,9.857171820465117,9.857171820465117,29
0,1,7,三个固定 GP 表达式的均值,300,1,0.994,9.876283732241212,9.854350982061472,9.883224039461686,9.883224039461686,23
0,0,5,不使用 GP,325,1,0.99,9.837891128914494,9.81601706453434,9.852518780564912,9.852518780564912,29
0,2,4,三个固定 GP 表达式的均值,425,1,0.77,7.774401426474861,7.774399813186144,8.207686750028637,8.207686750028637,32
0,2,4,三个固定 GP 表达式的均值,450,1,0.826,8.611359121129261,8.593695289710723,8.875105548137896,8.875105548137896,32
0,2,0,三个固定 GP 表达式的均值,525,1,0.792,8.169516189259012,8.17511502460279,8.532076022233742,8.532076022233742,32
0,3,4,三个固定 GP 表达式的均值,525,1,0.782,7.868888190614401,7.868887634277963,8.284008530498276,8.284008530498276,32
0,2,6,三个固定 GP 表达式的均值,525,1,0.788,8.131485944846874,8.131486957207269,8.494245391980614,8.494245391980614,32
0,1,2,三个固定 GP 表达式的均值,525,1,0.772,8.071669446597499,8.071669714327355,8.446769605719727,8.446769605719727,32
0,1,4,三个固定 GP 表达式的均值,525,1,0.794,8.128018923534022,8.128018953603934,8.493218716431246,8.493218716431246,32
0,2,0,三个固定 GP 表达式的均值,550,1,0.838,8.877961698032871,8.878248165731616,9.104439198673543,9.104439198673543,32
0,2,2,三个固定 GP 表达式的均值,550,1,0.888,8.946319441600002,8.933506896131147,9.1482720176223,9.1482720176223,32
0,3,4,三个固定 GP 表达式的均值,550,1,0.85,8.833763511848902,8.815764672155398,9.05205943902683,9.05205943902683,32
0,2,5,三个固定 GP 表达式的均值,550,1,0.886,8.881869975029124,8.863514694325813,9.090472356049668,9.090472356049668,32
0,2,6,三个固定 GP 表达式的均值,550,1,0.862,9.054923435773935,9.056475015762022,9.246335449216524,9.246335449216524,32
0,1,2,三个固定 GP 表达式的均值,550,1,0.874,9.141217592091207,9.127884169266073,9.302792045668278,9.302792045668278,32
0,0,4,不使用 GP,550,1,0.802,8.333842424695833,8.316936700665703,8.653563014805101,8.653563014805101,32
0,1,4,三个固定 GP 表达式的均值,550,1,0.852,8.90710203584931,8.888780358658227,9.110029331458522,9.110029331458522,32
0,2,0,三个固定 GP 表达式的均值,575,1,0.938,9.562677135001167,9.57855256446775,9.664407108527735,9.664407108527735,32
0,2,2,三个固定 GP 表达式的均值,575,1,0.912,9.304105434662572,9.284412055189616,9.426614105428287,9.426614105428287,32
0,3,4,三个固定 GP 表达式的均值,575,1,0.904,9.203947594315245,9.184702574990377,9.347143800830088,9.347143800830088,32
0,2,5,三个固定 GP 表达式的均值,575,1,0.904,9.371870694036378,9.351989388136358,9.480941447626982,9.480941447626982,32
0,1,2,三个固定 GP 表达式的均值,575,1,0.92,9.358309627617702,9.338341762568037,9.469957963256519,9.469957963256519,32
0,0,4,不使用 GP,575,1,0.846,8.86701327189359,8.848678297943428,9.077907093210445,9.077907093210445,32
0,1,4,三个固定 GP 表达式的均值,575,1,0.908,9.285769729063704,9.266040293990567,9.41195935028074,9.41195935028074,32
0,3,4,三个固定 GP 表达式的均值,600,1,0.94,9.454258902062522,9.434080543859562,9.546653102722663,9.546653102722663,32
0,2,5,三个固定 GP 表达式的均值,600,1,0.994,9.728360294459945,9.707071277116121,9.76526482029914,9.76526482029914,32
0,1,2,三个固定 GP 表达式的均值,600,1,0.956,9.63866836766336,9.617738028647322,9.693658046748702,9.693658046748702,32
0,0,4,不使用 GP,600,1,0.924,9.24612389469018,9.226388949777212,9.380526994955067,9.380526994955067,32
0,3,1,三个固定 GP 表达式的均值,625,1,0.752,7.730653621659526,7.730653614002617,8.17288952709947,8.17288952709947,32
0,3,2,三个固定 GP 表达式的均值,625,1,0.764,7.982995763250452,7.982995206104573,8.375674510135358,8.375674510135358,32
0,2,7,三个固定 GP 表达式的均值,625,1,0.772,8.242915765410379,8.254170061743281,8.596812891933208,8.596812891933208,32
0,3,7,三个固定 GP 表达式的均值,625,1,0.73,8.022217269945783,8.022216907039994,8.407153370156205,8.407153370156205,32
0,0,0,不使用 GP,625,1,0.736,7.565605237636184,7.5656043313442485,8.042509859864039,8.042509859864039,32
0,1,0,三个固定 GP 表达式的均值,625,1,0.78,8.240792887360007,8.24079506176796,8.585827664314426,8.585827664314426,32
0,0,2,不使用 GP,625,1,0.732,7.386302211521004,7.386302037248579,7.89649102257265,7.89649102257265,32
0,1,3,三个固定 GP 表达式的均值,625,1,0.77,8.208030767148395,8.214108164990972,8.563918616914057,8.563918616914057,32
0,0,5,不使用 GP,625,1,0.746,7.531876037775363,7.547708603759576,8.028062743129565,8.028062743129565,32
0,1,5,三个固定 GP 表达式的均值,625,1,0.774,8.313262344870573,8.3209863950467,8.649296289634272,8.649296289634272,32
0,0,7,不使用 GP,625,1,0.742,7.31809476032264,7.318094306726991,7.842221831676519,7.842221831676519,32
0,3,2,三个固定 GP 表达式的均值,650,1,0.828,8.907970002876214,8.889624983612563,9.111620440462342,9.111620440462342,32
0,3,3,三个固定 GP 表达式的均值,650,1,0.836,8.703556789702674,8.685846733364484,8.947765715293379,8.947765715293379,32
0,3,5,三个固定 GP 表达式的均值,650,1,0.808,8.483135017437656,8.465885490984315,8.772233618600538,8.772233618600538,32
0,2,7,三个固定 GP 表达式的均值,650,1,0.812,8.795091179690738,8.77706682732291,9.021143450003038,9.021143450003038,32
0,3,7,三个固定 GP 表达式的均值,650,1,0.75,8.38785458635447,8.370962437993533,8.695931936245318,8.695931936245318,32
0,0,0,不使用 GP,650,1,0.772,8.09230397986842,8.075814679435016,8.461609737578929,8.461609737578929,32
0,1,0,三个固定 GP 表达式的均值,650,1,0.898,9.285236282693267,9.265956184398652,9.41234780607861,9.41234780607861,32
0,1,1,三个固定 GP 表达式的均值,650,1,0.862,8.929926894281607,8.91160254683304,9.128692128696214,9.128692128696214,32
0,0,2,不使用 GP,650,1,0.792,8.217331285825317,8.200781517032414,8.560627753255693,8.560627753255693,32
0,1,3,三个固定 GP 表达式的均值,650,1,0.822,8.845792663911752,8.827513771091622,9.061505959856436,9.061505959856436,32
0,0,4,不使用 GP,650,1,0.988,9.80934912663796,9.78771411431273,9.829811328894584,9.829811328894584,32
0,1,5,三个固定 GP 表达式的均值,650,1,0.798,8.693063542964039,8.675502336876912,8.94163492276439,8.94163492276439,32
0,0,7,不使用 GP,650,1,0.748,7.730557516026199,7.7151038878997085,8.170913294227535,8.170913294227535,32
0,3,1,三个固定 GP 表达式的均值,675,1,0.826,8.544527546853772,8.527005556484228,8.820463507017884,8.820463507017884,32
0,3,2,三个固定 GP 表达式的均值,675,1,0.884,9.156649034255224,9.137233249566307,9.30924106264813,9.30924106264813,32
0,3,3,三个固定 GP 表达式的均值,675,1,0.818,9.087069526563335,9.06819096640691,9.253829945007643,9.253829945007643,32
0,3,5,三个固定 GP 表达式的均值,675,1,0.834,8.802482293747964,8.784326952470058,9.027124342645518,9.027124342645518,32
0,2,7,三个固定 GP 表达式的均值,675,1,0.878,9.176689992558888,9.18228807504025,9.347117841554375,9.347117841554375,32
0,0,0,不使用 GP,675,1,0.788,8.394000770047684,8.397839652966173,8.720053166289402,8.720053166289402,32
0,1,0,三个固定 GP 表达式的均值,675,1,0.962,9.684549086075075,9.663822935793641,9.730710539753812,9.730710539753812,32
0,1,1,三个固定 GP 表达式的均值,675,1,0.856,9.096625858964869,9.077601130306439,9.261151853767565,9.261151853767565,32
0,0,2,不使用 GP,675,1,0.814,8.409300885290543,8.40215777792045,8.727139831081667,8.727139831081667,32
0,1,3,三个固定 GP 表达式的均值,675,1,0.882,8.850413829108044,8.84047964023718,9.073499938612908,9.073499938612908,32
0,0,5,不使用 GP,675,1,0.764,8.10106226645163,8.084613203773458,8.466967707387688,8.466967707387688,32
0,1,5,三个固定 GP 表达式的均值,675,1,0.856,9.164842789309244,9.165508608217916,9.333219907392436,9.333219907392436,32
0,0,7,不使用 GP,675,1,0.804,7.880512510005244,7.864632623867109,8.297264602617462,8.297264602617462,32
0,3,0,三个固定 GP 表达式的均值,725,1,0.714,7.94766534491316,7.947664513465245,8.345948766078292,8.345948766078292,32
0,2,3,三个固定 GP 表达式的均值,725,1,0.762,7.9033766675895105,7.903376684144118,8.31199587228275,8.31199587228275,32
0,3,6,三个固定 GP 表达式的均值,725,1,0.77,8.152433514858597,8.15243329267506,8.514264079637732,8.514264079637732,32
0,0,1,不使用 GP,725,1,0.746,7.651958751818848,7.651958921300414,8.109472636440854,8.109472636440854,32
0,1,6,三个固定 GP 表达式的均值,725,1,0.758,8.049917963291083,8.049918368366622,8.430396354763207,8.430396354763207,32
0,3,0,三个固定 GP 表达式的均值,750,1,0.818,8.860516891372193,8.863506278693214,9.094377895115187,9.094377895115187,32
0,3,2,三个固定 GP 表达式的均值,750,1,0.99,9.815732592354067,9.79394438485801,9.834794341922361,9.834794341922361,29
0,2,3,三个固定 GP 表达式的均值,750,1,0.86,8.854660587893502,8.836540803089031,9.068719906406677,9.068719906406677,32
0,3,3,三个固定 GP 表达式的均值,750,1,0.994,9.848867873143304,9.827063549456042,9.861351384415197,9.861351384415197,28
0,3,5,三个固定 GP 表达式的均值,750,1,0.97,9.788081502256246,9.76672923643128,9.81304381211837,9.81304381211837,32
0,3,6,三个固定 GP 表达式的均值,750,1,0.844,9.007577262132363,8.98892720698897,9.191723164183632,9.191723164183632,32
0,3,7,三个固定 GP 表达式的均值,750,1,0.962,10.056322273316788,10.116349391736534,10.096384542244726,10.096384542244726,32
0,0,0,不使用 GP,750,1,0.908,9.261432980075606,9.241618575538629,9.394717332933057,9.394717332933057,32
0,1,1,三个固定 GP 表达式的均值,750,1,0.992,9.858001116095396,9.836242307174526,9.868716299254462,9.868716299254462,28
0,1,3,三个固定 GP 表达式的均值,750,1,0.964,9.683225627962832,9.662383738084603,9.7294572532023,9.7294572532023,32
0,0,5,不使用 GP,750,1,0.828,8.954723036890398,8.936013654727802,9.149795765116894,9.149795765116894,32
0,1,6,三个固定 GP 表达式的均值,750,1,0.882,9.080010459830154,9.061197047209719,9.249580273449794,9.249580273449794,32
0,0,7,不使用 GP,750,1,0.916,9.43393007231486,9.413722102748153,9.534225529252312,9.534225529252312,32
0,3,0,三个固定 GP 表达式的均值,775,1,0.848,8.754241283962264,8.73616524283122,8.988088769169565,8.988088769169565,32
0,2,3,三个固定 GP 表达式的均值,775,1,0.886,9.325498977750234,9.313380506963819,9.452730213559457,9.452730213559457,32
0,2,4,三个固定 GP 表达式的均值,775,1,0.972,9.797417228104003,9.77567432279885,9.820158174441445,9.820158174441445,29
0,3,6,三个固定 GP 表达式的均值,775,1,0.928,9.180352363076521,9.17150345863408,9.337687008778149,9.337687008778149,32
0,0,1,不使用 GP,775,1,0.83,8.561505429681452,8.544141657648886,8.834765240469885,8.834765240469885,32
0,1,6,三个固定 GP 表达式的均值,775,1,0.882,9.269472684315136,9.249901098434298,9.399360051556163,9.399360051556163,32
0,3,1,三个固定 GP 表达式的均值,800,1,0.994,9.866119553041672,9.844242472405591,9.875125360634621,9.875125360634621,30
0,2,7,三个固定 GP 表达式的均值,800,1,0.982,9.827176866473023,9.80533788514188,9.843931447066996,9.843931447066996,30
0,0,5,不使用 GP,800,1,0.898,9.218081994002585,9.198465265184616,9.357665525011864,9.357665525011864,32
0,0,7,不使用 GP,800,1,0.94,9.596436928312356,9.596531339198345,9.682640563709679,9.682640563709679,32
0,3,0,三个固定 GP 表达式的均值,825,1,0.974,9.730017559631115,9.708917827287022,9.766710602552799,9.766710602552799,32
0,2,1,三个固定 GP 表达式的均值,825,1,0.78,8.156385533260305,8.167575659346594,8.527695707582385,8.527695707582385,32
0,0,1,不使用 GP,825,1,0.896,9.020516641274185,9.00149410740082,9.20082666128239,9.20082666128239,32
0,0,3,不使用 GP,825,1,0.746,7.110434813078525,7.110434541655041,7.675378815243252,7.675378815243252,32
0,3,0,三个固定 GP 表达式的均值,850,1,0.976,9.744573876621661,9.723080956195824,9.77800818989464,9.77800818989464,32
0,2,1,三个固定 GP 表达式的均值,850,1,0.838,8.799380983074,8.78140746996176,9.02365023917229,9.02365023917229,32
0,0,1,不使用 GP,850,1,0.958,9.536200275047486,9.515533129768626,9.611681978846045,9.611681978846045,32
0,0,3,不使用 GP,850,1,0.78,8.10389523013936,8.087617273773636,8.471399697342953,8.471399697342953,32
0,0,5,不使用 GP,850,1,0.98,9.695232909384353,9.673860916974748,9.738591101114304,9.738591101114304,32
0,1,5,三个固定 GP 表达式的均值,850,1,0.994,9.828047905047553,9.806313471989146,9.844726412950383,9.844726412950383,32
0,0,6,不使用 GP,850,1,0.818,8.47060255789569,8.453212397937616,8.763609799785874,8.763609799785874,32
0,1,6,三个固定 GP 表达式的均值,850,1,0.978,10.072005715365938,10.104607841562943,10.085860448159265,10.085860448159265,29
0,0,7,不使用 GP,850,1,0.954,10.30705683454513,10.466131210892048,10.375558173742998,10.375558173742998,32
0,2,1,三个固定 GP 表达式的均值,875,1,0.956,9.605214913505026,9.584656343493412,9.667334967154112,9.667334967154112,32
0,3,2,三个固定 GP 表达式的均值,875,1,0.984,9.719751559748062,9.698308288436856,9.758108085371934,9.758108085371934,32
0,2,4,三个固定 GP 表达式的均值,875,1,0.974,9.704844031810401,9.68331354478215,9.746087488347197,9.746087488347197,23
0,0,3,不使用 GP,875,1,0.816,8.50128150183546,8.483963402681692,8.786215023552403,8.786215023552403,32
0,0,6,不使用 GP,875,1,0.872,8.79848426337016,8.794259403291036,9.044664759305503,9.044664759305503,32
0,3,5,三个固定 GP 表达式的均值,900,2,0.914,9.227573755948201,9.20723540577796,9.364392522352082,9.364392522352082,32
0,0,0,不使用 GP,900,2,0.968,9.597415942995609,9.576399546584193,9.66043883614858,9.66043883614858,32
0,1,1,三个固定 GP 表达式的均值,900,1,0.986,9.868051866145102,9.84614844239499,9.876644696193457,9.876644696193457,29
0,0,3,不使用 GP,900,1,0.89,8.876347723542613,8.857675071147565,9.085050943225054,9.085050943225054,32
0,0,6,不使用 GP,900,1,0.9,9.36618998875826,9.388361400887385,9.511975670885274,9.511975670885274,32
0,1,6,三个固定 GP 表达式的均值,900,1,0.994,10.260154526147774,10.339212459778162,10.273983685015484,10.273983685015484,24
0,2,3,三个固定 GP 表达式的均值,975,1,0.954,9.599841905017428,9.578785553642831,9.662150226262419,9.662150226262419,32
0,3,3,三个固定 GP 表达式的均值,975,1,0.986,9.800116498432583,9.778593916144155,9.822483832707343,9.822483832707343,32
0,3,2,三个固定 GP 表达式的均值,1000,2,0.926,9.177767706434643,9.157528492235507,9.324530392381972,9.324530392381972,14
0,3,3,三个固定 GP 表达式的均值,1000,1,0.98,9.808092635249322,9.7863301922487,9.828693588048994,9.828693588048994,32
0,3,4,三个固定 GP 表达式的均值,1025,1,0.786,8.119476481985707,8.119476387416567,8.486228414614573,8.486228414614573,32
0,2,5,三个固定 GP 表达式的均值,1025,1,0.766,8.266697810493808,8.266696959229325,8.60439541995613,8.60439541995613,32
0,2,6,三个固定 GP 表达式的均值,1025,1,0.822,8.209234345923702,8.209234120467135,8.558188171395756,8.558188171395756,32
0,1,0,三个固定 GP 表达式的均值,1025,1,0.786,8.175998921544265,8.175999334171863,8.53081645266063,8.53081645266063,32
0,3,4,三个固定 GP 表达式的均值,1050,1,0.816,8.63625629969848,8.618589947314899,8.89485738923607,8.89485738923607,32
