state_owner,snapshot_iteration,continuation_iterations,metric,mean,point_low,point_high,instances
不使用 GP 产生的状态,250,1,仅构造决策树的增益（百分点）,-0.00018525055841174992,-0.0005193298177133234,3.156123226963656e-07,8
不使用 GP 产生的状态,250,1,仅信息素更新树的增益（百分点）,0.0,0.0,0.0,8
不使用 GP 产生的状态,250,25,原生来源下 GP 增益（百分点）,-0.0011200828469840368,-0.011547354605663685,0.007094122819818301,8
不使用 GP 产生的状态,250,25,仅本轮最优来源下 GP 增益（百分点）,-0.0022458852655544825,-0.014743016902084386,0.008062586380447323,8
不使用 GP 产生的状态,250,25,移除历史来源后 GP 增益变化（百分点）,-0.0011258024185704465,-0.0052588966283198,0.004277719057942263,8
不使用 GP 产生的状态,250,25,仅构造决策树的增益（百分点）,-0.001374732907909336,-0.0037362142919780527,0.0004368111602728637,8
不使用 GP 产生的状态,250,25,仅信息素更新树的增益（百分点）,-0.001652085497252314,-0.012333014583180825,0.00614445587282396,8
不使用 GP 产生的状态,250,100,原生来源下 GP 增益（百分点）,-0.00842515682617568,-0.018945300113820365,0.0009091556611970672,8
不使用 GP 产生的状态,250,100,仅本轮最优来源下 GP 增益（百分点）,-0.010187280583698333,-0.02476534403152828,0.0042168730146154645,8
不使用 GP 产生的状态,250,100,移除历史来源后 GP 增益变化（百分点）,-0.0017621237575226535,-0.008809032590117696,0.0059746974171893796,8
不使用 GP 产生的状态,250,100,仅构造决策树的增益（百分点）,-0.008172088210338225,-0.01929191072393208,0.0005767100275722026,8
不使用 GP 产生的状态,250,100,仅信息素更新树的增益（百分点）,-0.001875227846210982,-0.012803320242318277,0.006516719048235389,8
不使用 GP 产生的状态,250,500,原生来源下 GP 增益（百分点）,-0.0022164872391095022,-0.032354255131035056,0.0342732108448156,8
不使用 GP 产生的状态,250,500,仅本轮最优来源下 GP 增益（百分点）,-0.03268675389031867,-0.05522235234993486,-0.0089594518127052,8
不使用 GP 产生的状态,250,500,移除历史来源后 GP 增益变化（百分点）,-0.03047026665120917,-0.051197690481173216,-0.010512568665332959,8
不使用 GP 产生的状态,250,500,仅构造决策树的增益（百分点）,-0.011897067731539424,-0.023904446960483647,0.0009096131989655416,8
