state_owner,snapshot_iteration,historical_source,update_rule,metric,mean,point_low,point_high,instances
GP 表达式自身产生的状态,2500,历史重启阶段最优路径,来源内均匀沉积,unaffected_probability_tv,1.3493631222269024e-11,6.541218437560926e-14,4.010987666767046e-11,8
不使用 GP 产生的状态,1,历史全局最优路径,GP 源内重加权,unaffected_probability_tv,0.0,0.0,0.0,8
不使用 GP 产生的状态,1,历史全局最优路径,来源内均匀沉积,unaffected_probability_tv,0.0,0.0,0.0,8
不使用 GP 产生的状态,1,历史重启阶段最优路径,GP 源内重加权,unaffected_probability_tv,0.0,0.0,0.0,8
不使用 GP 产生的状态,1,历史重启阶段最优路径,来源内均匀沉积,unaffected_probability_tv,0.0,0.0,0.0,8
不使用 GP 产生的状态,100,历史全局最优路径,GP 源内重加权,affected_probability_tv,0.06273928531087816,0.048342964071581,0.07652032371720069,8
不使用 GP 产生的状态,100,历史全局最优路径,GP 源内重加权,unaffected_probability_tv,0.00025327512497668006,0.000170098176512279,0.0003445681672609919,8
不使用 GP 产生的状态,100,历史全局最优路径,来源内均匀沉积,affected_probability_tv,0.07973061449927002,0.06093079344361338,0.09800131619086636,8
不使用 GP 产生的状态,100,历史全局最优路径,来源内均匀沉积,unaffected_probability_tv,8.138912854577499e-10,3.170130574764683e-10,1.4882354241494164e-09,8
不使用 GP 产生的状态,100,历史重启阶段最优路径,GP 源内重加权,affected_probability_tv,0.06273928531087816,0.04824959115525082,0.07638689810651222,8
不使用 GP 产生的状态,100,历史重启阶段最优路径,GP 源内重加权,unaffected_probability_tv,0.00025327512497668006,0.00017154672650638618,0.0003446849030883717,8
不使用 GP 产生的状态,100,历史重启阶段最优路径,来源内均匀沉积,affected_probability_tv,0.07973061449927002,0.06170761323567588,0.09833688948744262,8
不使用 GP 产生的状态,100,历史重启阶段最优路径,来源内均匀沉积,unaffected_probability_tv,8.138912854577499e-10,3.196676773882565e-10,1.4845359630674418e-09,8
不使用 GP 产生的状态,250,历史全局最优路径,GP 源内重加权,unaffected_probability_tv,1.403348560996468e-07,4.479586506119587e-09,4.0671719531200413e-07,8
不使用 GP 产生的状态,250,历史全局最优路径,来源内均匀沉积,unaffected_probability_tv,0.0,0.0,0.0,8
不使用 GP 产生的状态,250,历史重启阶段最优路径,GP 源内重加权,unaffected_probability_tv,1.403348560996468e-07,4.3456238763712985e-09,4.0697639374676696e-07,8
不使用 GP 产生的状态,250,历史重启阶段最优路径,来源内均匀沉积,unaffected_probability_tv,0.0,0.0,0.0,8
不使用 GP 产生的状态,500,历史全局最优路径,GP 源内重加权,unaffected_probability_tv,3.646313001426758e-07,1.399500360324336e-07,6.252840198055943e-07,8
不使用 GP 产生的状态,500,历史全局最优路径,来源内均匀沉积,unaffected_probability_tv,0.0,0.0,0.0,8
不使用 GP 产生的状态,500,历史重启阶段最优路径,GP 源内重加权,unaffected_probability_tv,3.646313001426758e-07,1.4277950915847505e-07,6.365599600762412e-07,8
不使用 GP 产生的状态,500,历史重启阶段最优路径,来源内均匀沉积,unaffected_probability_tv,0.0,0.0,0.0,8
不使用 GP 产生的状态,1000,历史全局最优路径,GP 源内重加权,affected_probability_tv,0.05604626926117444,0.0313142909614748,0.08234992065503093,7
不使用 GP 产生的状态,1000,历史全局最优路径,GP 源内重加权,unaffected_probability_tv,7.572495700344572e-06,4.446984661375683e-06,1.0776721182994274e-05,8
不使用 GP 产生的状态,1000,历史全局最优路径,来源内均匀沉积,affected_probability_tv,0.07733452921201825,0.04294027127779141,0.1140659539509994,7
不使用 GP 产生的状态,1000,历史全局最优路径,来源内均匀沉积,unaffected_probability_tv,1.780255774382326e-10,7.176270564200453e-12,4.687822308950864e-10,8
不使用 GP 产生的状态,1000,历史重启阶段最优路径,GP 源内重加权,unaffected_probability_tv,1.540499040230717e-05,1.3995540153145426e-07,4.57430118009611e-05,8
不使用 GP 产生的状态,1000,历史重启阶段最优路径,来源内均匀沉积,unaffected_probability_tv,5.903331639128284e-11,0.0,1.7709994917384853e-10,8
不使用 GP 产生的状态,2500,历史全局最优路径,GP 源内重加权,affected_probability_tv,0.05414403893550485,0.03170007525367933,0.07617369391661861,6
不使用 GP 产生的状态,2500,历史全局最优路径,GP 源内重加权,unaffected_probability_tv,5.352566321945769e-05,6.777001692632955e-06,0.0001324846875493678,8
不使用 GP 产生的状态,2500,历史全局最优路径,来源内均匀沉积,affected_probability_tv,0.07820441719327732,0.045151192164305944,0.10881404225574631,6
不使用 GP 产生的状态,2500,历史全局最优路径,来源内均匀沉积,unaffected_probability_tv,4.4540490945291333e-10,8.779492724986095e-11,9.744801042647137e-10,8
不使用 GP 产生的状态,2500,历史重启阶段最优路径,GP 源内重加权,affected_probability_tv,0.07465858063570416,0.032278039994554794,0.1100795929866198,4
不使用 GP 产生的状态,2500,历史重启阶段最优路径,GP 源内重加权,unaffected_probability_tv,1.1155821132907755e-05,1.1767693543517079e-06,2.8411596252856472e-05,8
不使用 GP 产生的状态,2500,历史重启阶段最优路径,来源内均匀沉积,affected_probability_tv,0.08923505477277088,0.039895508464751005,0.12481122083912494,4
不使用 GP 产生的状态,2500,历史重启阶段最优路径,来源内均匀沉积,unaffected_probability_tv,3.554382137826212e-10,7.858040321227956e-11,6.908408606356695e-10,8
