behavior,source_kind,metric,mean,point_low,point_high,instances
三个固定 GP 表达式的均值,1,source_current_overlap,0.8697122955137425,0.8632239186762471,0.8751590590425475,8
三个固定 GP 表达式的均值,1,source_lift_0,8.989918054537775,8.935016338063145,9.046348450513868,8
三个固定 GP 表达式的均值,1,source_lift_1,8.979764568402572,8.918883834648502,9.03937630585238,8
三个固定 GP 表达式的均值,1,source_lift_2,9.18174008843006,9.134895684647542,9.23038065651456,8
三个固定 GP 表达式的均值,1,source_lift_3,9.18174008843006,9.133411278327006,9.229485703233774,8
三个固定 GP 表达式的均值,1,post_unique_tours,31.429791851616184,31.285589090746313,31.568152749503263,8
三个固定 GP 表达式的均值,2,source_current_overlap,0.9213457341269842,0.9078472470238095,0.935392361111111,8
三个固定 GP 表达式的均值,2,source_lift_0,9.469932644608093,9.336497481904994,9.69037571726928,8
三个固定 GP 表达式的均值,2,source_lift_1,9.465580647651288,9.31551809627223,9.718468179428827,8
三个固定 GP 表达式的均值,2,source_lift_2,9.571868356627512,9.451240348918573,9.772040436786849,8
三个固定 GP 表达式的均值,2,source_lift_3,9.571868356627512,9.452111490181052,9.775002780264265,8
三个固定 GP 表达式的均值,2,post_unique_tours,29.331944444444446,27.616666666666667,31.058333333333334,8
不使用 GP,1,source_current_overlap,0.8441275910916115,0.8378851808382295,0.8502628272802846,8
不使用 GP,1,source_lift_0,8.58702905854345,8.50231968549226,8.675289288133907,8
不使用 GP,1,source_lift_1,8.579187127320129,8.492430943101928,8.676486569644151,8
不使用 GP,1,source_lift_2,8.861653308381937,8.790354712275546,8.941064844137639,8
不使用 GP,1,source_lift_3,8.861653308381937,8.790084909688083,8.935906865070557,8
不使用 GP,1,post_unique_tours,31.81350182270271,31.731784728154768,31.893488554160726,8
不使用 GP,2,source_current_overlap,0.9203470238095238,0.9056845238095238,0.9349345238095239,8
不使用 GP,2,source_lift_0,9.310710442858536,9.134728830427413,9.468947465385064,8
不使用 GP,2,source_lift_1,9.304706819203725,9.117419413583214,9.479993181896514,8
不使用 GP,2,source_lift_2,9.443113500322568,9.294807354340394,9.581172549656307,8
不使用 GP,2,source_lift_3,9.443113500322568,9.29499170353136,9.582055548904547,8
不使用 GP,2,post_unique_tours,26.89613095238095,24.835550595238097,29.141666666666666,8
