state_owner,continuation_iterations,metric,mean,point_low,point_high,instances
不使用 GP 产生的状态,1,pre_symmetric_difference,63.79325810185185,57.08674768518518,71.97248263888889,8
不使用 GP 产生的状态,1,post_symmetric_difference,42.96223958333333,39.538621238425925,46.47497106481481,8
不使用 GP 产生的状态,1,defined_survival_ratio,1.3366500920795321,1.272780239269151,1.4106274072757206,8
不使用 GP 产生的状态,1,undefined_ants,23.460648148148145,23.21527777777778,23.71990740740741,8
不使用 GP 产生的状态,25,pre_symmetric_difference,105.49189814814815,97.44431423611111,113.6488208912037,8
不使用 GP 产生的状态,25,post_symmetric_difference,105.6021412037037,97.99131944444446,113.1459273726852,8
不使用 GP 产生的状态,25,defined_survival_ratio,1.294804526245273,1.2224961303252377,1.378168073601325,8
不使用 GP 产生的状态,25,undefined_ants,12.453703703703702,11.33096064814815,13.655092592592592,8
不使用 GP 产生的状态,100,pre_symmetric_difference,75.19835069444446,68.7685185185185,82.12572337962962,8
不使用 GP 产生的状态,100,post_symmetric_difference,80.30946180555556,72.2353877314815,89.19097222222223,8
不使用 GP 产生的状态,100,defined_survival_ratio,1.2312765204604113,1.1430291411816564,1.3460037281504327,8
不使用 GP 产生的状态,100,undefined_ants,11.608796296296294,10.55787037037037,12.706076388888887,8
不使用 GP 产生的状态,500,pre_symmetric_difference,127.24363425925927,115.36226851851853,137.86313657407408,8
不使用 GP 产生的状态,500,post_symmetric_difference,117.90465856481482,105.19965277777779,130.19328703703704,8
不使用 GP 产生的状态,500,defined_survival_ratio,1.1071208520933842,1.067982399868417,1.1544198591059622,8
不使用 GP 产生的状态,500,undefined_ants,5.516203703703704,4.18287037037037,6.8125578703703695,8
各 GP 表达式自身产生的状态,1,pre_symmetric_difference,69.95876736111111,58.28226273148148,81.31865596064813,8
各 GP 表达式自身产生的状态,1,post_symmetric_difference,40.947048611111114,35.27331814236111,46.47453703703703,8
各 GP 表达式自身产生的状态,1,defined_survival_ratio,1.4339008536560214,1.3425615900308037,1.5341260386943731,8
各 GP 表达式自身产生的状态,1,undefined_ants,23.72222222222222,23.46527777777778,23.988425925925924,8
各 GP 表达式自身产生的状态,25,pre_symmetric_difference,98.24855324074075,94.09431061921295,103.13847294560186,8
各 GP 表达式自身产生的状态,25,post_symmetric_difference,98.43344907407408,93.28353587962962,104.38599537037037,8
各 GP 表达式自身产生的状态,25,defined_survival_ratio,1.3895364265088532,1.3060282534675143,1.455986768500472,8
各 GP 表达式自身产生的状态,25,undefined_ants,12.287037037037038,11.717592592592592,12.851851851851851,8
各 GP 表达式自身产生的状态,100,pre_symmetric_difference,71.75448495370371,66.57407407407408,76.59282045717592,8
各 GP 表达式自身产生的状态,100,post_symmetric_difference,76.28920717592592,70.60127314814815,82.24457465277777,8
各 GP 表达式自身产生的状态,100,defined_survival_ratio,1.369012182816827,1.2891458872202595,1.4413139105703083,8
各 GP 表达式自身产生的状态,100,undefined_ants,12.122685185185185,11.409722222222221,12.729166666666668,8
各 GP 表达式自身产生的状态,500,pre_symmetric_difference,125.06597222222223,115.7890625,134.02089120370368,8
各 GP 表达式自身产生的状态,500,post_symmetric_difference,115.77575231481481,108.62962239583332,122.76109664351853,8
各 GP 表达式自身产生的状态,500,defined_survival_ratio,1.1346142507754586,1.0699598161037138,1.2035353452082422,8
各 GP 表达式自身产生的状态,500,undefined_ants,6.233796296296296,5.284722222222222,7.189872685185184,8
