behavior,source_kind,instance,source_current_overlap,source_lift_0,source_lift_1,source_lift_2,source_lift_3,post_unique_tours
三个固定 GP 表达式的均值,1,0,0.8707224669603524,8.976767219305149,8.96474725245599,9.169735011020524,9.169735011020524,31.709251101321588
三个固定 GP 表达式的均值,1,1,0.8788646288209606,9.039250322389263,9.024194484206667,9.216688115928632,9.216688115928632,31.22707423580786
三个固定 GP 表达式的均值,1,2,0.8621709401709401,8.90788427549797,8.894550798365799,9.11298670136935,9.11298670136935,31.581196581196583
三个固定 GP 表达式的均值,1,3,0.8670916334661355,8.952175175249673,8.9380004760477,9.148064555713168,9.148064555713168,31.0796812749004
三个固定 GP 表达式的均值,1,4,0.8748489795918367,8.987420706337025,8.974416690852975,9.17694278054754,9.17694278054754,31.40408163265306
三个固定 GP 表达式的均值,1,5,0.8514923076923075,8.854374365114056,8.842023282233017,9.070880805615893,9.070880805615893,31.673076923076923
三个固定 GP 表达式的均值,1,6,0.8783727272727272,9.095048227224503,9.089704671253259,9.270819391387244,9.270819391387244,31.427272727272726
三个固定 GP 表达式的均值,1,7,0.8741346801346803,9.106424145184558,9.110478891805176,9.287803345858126,9.287803345858126,31.336700336700336
三个固定 GP 表达式的均值,2,0,0.9072499999999999,9.287618105517225,9.267227076378608,9.412698823989505,9.412698823989505,32.0
三个固定 GP 表达式的均值,2,1,0.9275555555555555,9.337104298866214,9.316562243517042,9.45227292814577,9.45227292814577,25.88888888888889
三个固定 GP 表达式的均值,2,2,0.9355,9.433127855525633,9.412350948452229,9.528908939984142,9.528908939984142,27.5
三个固定 GP 表达式的均值,2,3,0.9039999999999999,9.303266199843764,9.282840095696251,9.42516892523619,9.42516892523619,30.6
三个固定 GP 表达式的均值,2,4,0.9303333333333333,9.405763702599751,9.385058430897676,9.507088394960777,9.507088394960777,26.0
三个固定 GP 表达式的均值,2,5,0.9182222222222222,9.44734056334604,9.426563926563453,9.5402895397232,9.5402895397232,32.0
三个固定 GP 表达式的均值,2,6,0.9583333333333331,10.194133492836468,10.30344259509525,10.245021622497129,10.245021622497129,28.666666666666668
三个固定 GP 表达式的均值,2,7,0.8895714285714288,9.35110693832965,9.330599864609797,9.463497678483384,9.463497678483384,32.0
不使用 GP,1,0,0.847754716981132,8.568782426825035,8.556391763063509,8.842815562190097,8.842815562190097,31.68867924528302
不使用 GP,1,1,0.8393203883495147,8.511127288189451,8.496888663362288,8.794984399921596,8.794984399921596,31.718446601941746
不使用 GP,1,2,0.8366923076923076,8.480907765228178,8.467377840105373,8.771615325517526,8.771615325517526,31.971153846153847
不使用 GP,1,3,0.8495283018867925,8.61851373050546,8.603634793751121,8.881108151389261,8.881108151389261,31.867924528301888
不使用 GP,1,4,0.8282619047619048,8.390045767068699,8.378532635755038,8.700405508276143,8.700405508276143,31.952380952380953
不使用 GP,1,5,0.8436261682242994,8.591816166708693,8.578627840876376,8.861289632739673,8.861289632739673,31.626168224299064
不使用 GP,1,6,0.8602020202020203,8.748384437300741,8.747499743949355,8.997382114173899,8.997382114173899,31.818181818181817
不使用 GP,1,7,0.8476349206349206,8.786654886521358,8.80454373769797,9.043625772847301,9.043625772847301,31.865079365079364
不使用 GP,2,0,0.892,8.927110245515339,8.907598440822921,9.125115117367944,9.125115117367944,26.0
不使用 GP,2,1,0.892,8.926569674585242,8.906922311618855,9.124082390036012,9.124082390036012,24.0
不使用 GP,2,2,0.9444000000000001,9.39358531268531,9.37285167871051,9.497388032603501,9.497388032603501,25.4
不使用 GP,2,3,0.9311428571428569,9.321758341208774,9.301243754753441,9.439913457438047,9.439913457438047,25.285714285714285
不使用 GP,2,4,0.9544,9.612393716476594,9.591179786435154,9.672273951315693,9.672273951315693,31.4
不使用 GP,2,5,0.9243333333333333,9.34300421777145,9.322507972158807,9.456919463317844,9.456919463317844,28.333333333333332
不使用 GP,2,6,0.9135,9.576487717179763,9.671230641421166,9.738870525923627,9.738870525923627,22.75
不使用 GP,2,7,0.911,9.384774317445814,9.364119967708945,9.490345064577877,9.490345064577877,32.0
