state_owner,snapshot_iteration,continuation_iterations,metric,mean,point_low,point_high,instances
不使用 GP 产生的状态,1,1,pre_symmetric_difference,236.70225694444446,235.35846354166668,238.20141059027776,8
不使用 GP 产生的状态,1,1,post_symmetric_difference,123.06336805555554,121.93572048611111,124.21267361111111,8
不使用 GP 产生的状态,1,1,defined_survival_ratio,0.5202942353601565,0.5160582900685982,0.5239244514810143,8
不使用 GP 产生的状态,1,1,undefined_ants,21.333333333333332,21.333333333333332,21.333333333333332,8
不使用 GP 产生的状态,1,25,pre_symmetric_difference,316.94184027777777,313.42519531249997,320.1927083333333,8
不使用 GP 产生的状态,1,25,post_symmetric_difference,293.56336805555554,289.3601996527778,297.3821614583333,8
不使用 GP 产生的状态,1,25,defined_survival_ratio,0.928970370533479,0.9222985654945972,0.9360200745033156,8
不使用 GP 产生的状态,1,25,undefined_ants,0.0,0.0,0.0,8
不使用 GP 产生的状态,1,100,pre_symmetric_difference,218.48697916666669,208.50711805555557,229.00941840277773,8
不使用 GP 产生的状态,1,100,post_symmetric_difference,222.01215277777777,212.12847222222223,232.12087673611111,8
不使用 GP 产生的状态,1,100,defined_survival_ratio,1.0204189941112056,1.002174256080684,1.039484144287768,8
不使用 GP 产生的状态,1,100,undefined_ants,0.0,0.0,0.0,8
不使用 GP 产生的状态,1,500,pre_symmetric_difference,227.67795138888889,202.32118055555554,254.60260416666665,8
不使用 GP 产生的状态,1,500,post_symmetric_difference,157.0546875,142.12981770833332,171.82725694444446,8
不使用 GP 产生的状态,1,500,defined_survival_ratio,0.9152213868960052,0.8479301384815373,0.991580999638965,8
不使用 GP 产生的状态,1,500,undefined_ants,2.1111111111111107,0.0,4.777777777777778,8
不使用 GP 产生的状态,100,1,pre_symmetric_difference,53.54166666666667,48.67881944444444,57.809027777777786,8
不使用 GP 产生的状态,100,1,post_symmetric_difference,65.96527777777777,60.950520833333336,70.43062065972224,8
不使用 GP 产生的状态,100,1,defined_survival_ratio,1.3123718266656115,1.2486829514640458,1.3883214147957583,8
不使用 GP 产生的状态,100,1,undefined_ants,21.34722222222222,21.333333333333332,21.374999999999996,8
