replicate,champion,instance,state_owner,snapshot_iteration,historical_source,update_rule,affected_probe_count,unaffected_probe_count,affected_probability_tv,unaffected_probability_tv
0,81003,2,GP 表达式自身产生的状态,1,历史全局最优路径,来源内均匀沉积,0,16,nan,0.0
0,81003,3,GP 表达式自身产生的状态,1,历史全局最优路径,来源内均匀沉积,0,16,nan,0.0
0,81003,4,GP 表达式自身产生的状态,1,历史全局最优路径,来源内均匀沉积,0,16,nan,0.0
0,81003,5,GP 表达式自身产生的状态,1,历史全局最优路径,来源内均匀沉积,0,16,nan,0.0
0,81003,6,GP 表达式自身产生的状态,1,历史全局最优路径,来源内均匀沉积,0,16,nan,0.0
0,81003,7,GP 表达式自身产生的状态,1,历史全局最优路径,来源内均匀沉积,0,16,nan,0.0
0,81003,0,GP 表达式自身产生的状态,1,历史重启阶段最优路径,GP 源内重加权,0,16,nan,0.0
0,81003,1,GP 表达式自身产生的状态,1,历史重启阶段最优路径,GP 源内重加权,0,16,nan,0.0
0,81003,2,GP 表达式自身产生的状态,1,历史重启阶段最优路径,GP 源内重加权,0,16,nan,0.0
0,81003,3,GP 表达式自身产生的状态,1,历史重启阶段最优路径,GP 源内重加权,0,16,nan,0.0
0,81003,4,GP 表达式自身产生的状态,1,历史重启阶段最优路径,GP 源内重加权,0,16,nan,0.0
0,81003,5,GP 表达式自身产生的状态,1,历史重启阶段最优路径,GP 源内重加权,0,16,nan,0.0
0,81003,6,GP 表达式自身产生的状态,1,历史重启阶段最优路径,GP 源内重加权,0,16,nan,0.0
0,81003,7,GP 表达式自身产生的状态,1,历史重启阶段最优路径,GP 源内重加权,0,16,nan,0.0
0,81003,0,GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81003,1,GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81003,2,GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81003,3,GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81003,4,GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81003,5,GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81003,6,GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81003,7,GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,0,16,nan,0.0
0,81002,0,不使用 GP 产生的状态,100,历史重启阶段最优路径,来源内均匀沉积,10,6,0.10639852908951986,1.8084601189646963e-09
0,81002,1,不使用 GP 产生的状态,100,历史重启阶段最优路径,来源内均匀沉积,3,13,0.11549100739484085,3.2469858120176733e-09
0,81002,2,不使用 GP 产生的状态,100,历史重启阶段最优路径,来源内均匀沉积,3,13,0.09153631913453375,1.602094843252846e-09
0,81002,3,不使用 GP 产生的状态,100,历史重启阶段最优路径,来源内均匀沉积,2,14,0.05615586113608867,1.3806151119236203e-10
0,81002,4,不使用 GP 产生的状态,100,历史重启阶段最优路径,来源内均匀沉积,4,12,0.15634140048147346,0.0
