state_owner,snapshot_iteration,source,phase,metric,mean,point_low,point_high,instances
GP 表达式自身产生的状态,100,历史全局最优路径,沉积后,deposit_l1_over_budget,0.03379100185853732,0.024767731189475662,0.04489792229125629,8
GP 表达式自身产生的状态,100,历史全局最优路径,沉积后,source_edge_tau_l1_over_two_budget,0.03379100676411211,0.024575652214500955,0.044619314705986596,8
GP 表达式自身产生的状态,100,历史全局最优路径,沉积后,global_tau_relative_l1,2.9477636772673757e-05,2.1526495075680575e-05,3.892842073457695e-05,8
GP 表达式自身产生的状态,100,历史全局最优路径,蒸发和下界保护后,deposit_l1_over_budget,0.03379100185853732,0.024648920665615567,0.04484507608855812,8
GP 表达式自身产生的状态,100,历史全局最优路径,蒸发和下界保护后,source_edge_tau_l1_over_two_budget,0.0,0.0,0.0,8
GP 表达式自身产生的状态,100,历史全局最优路径,蒸发和下界保护后,global_tau_relative_l1,0.0,0.0,0.0,8
GP 表达式自身产生的状态,100,历史全局最优路径,重启和可选上界处理后,deposit_l1_over_budget,0.03379100185853732,0.024648920665615567,0.04450817994376613,8
GP 表达式自身产生的状态,100,历史全局最优路径,重启和可选上界处理后,source_edge_tau_l1_over_two_budget,0.03379100676411211,0.024383454101804723,0.04449591149783054,8
GP 表达式自身产生的状态,100,历史全局最优路径,重启和可选上界处理后,global_tau_relative_l1,2.9477636772673757e-05,2.1515380016128503e-05,3.8801782200702535e-05,8
GP 表达式自身产生的状态,100,历史重启阶段最优路径,更新前,deposit_l1_over_budget,0.03379100185853732,0.02460763632723469,0.04476590206770697,8
GP 表达式自身产生的状态,100,历史重启阶段最优路径,更新前,source_edge_tau_l1_over_two_budget,0.0,0.0,0.0,8
GP 表达式自身产生的状态,100,历史重启阶段最优路径,更新前,global_tau_relative_l1,0.0,0.0,0.0,8
GP 表达式自身产生的状态,100,历史重启阶段最优路径,沉积后,deposit_l1_over_budget,0.03379100185853732,0.02460763632723469,0.04463661759685908,8
GP 表达式自身产生的状态,100,历史重启阶段最优路径,沉积后,source_edge_tau_l1_over_two_budget,0.03379100676411211,0.024564278749853036,0.04443595386456375,8
GP 表达式自身产生的状态,100,历史重启阶段最优路径,沉积后,global_tau_relative_l1,2.9477636772673757e-05,2.1461490425116326e-05,3.888714698844331e-05,8
GP 表达式自身产生的状态,100,历史重启阶段最优路径,蒸发和下界保护后,deposit_l1_over_budget,0.03379100185853732,0.02460763632723469,0.04476154576619199,8
GP 表达式自身产生的状态,100,历史重启阶段最优路径,蒸发和下界保护后,source_edge_tau_l1_over_two_budget,0.0,0.0,0.0,8
GP 表达式自身产生的状态,100,历史重启阶段最优路径,蒸发和下界保护后,global_tau_relative_l1,0.0,0.0,0.0,8
GP 表达式自身产生的状态,100,历史重启阶段最优路径,重启和可选上界处理后,deposit_l1_over_budget,0.03379100185853732,0.02457566222985079,0.04463851620967344,8
GP 表达式自身产生的状态,100,历史重启阶段最优路径,重启和可选上界处理后,source_edge_tau_l1_over_two_budget,0.03379100676411211,0.024489066888132266,0.04450733949738839,8
GP 表达式自身产生的状态,100,历史重启阶段最优路径,重启和可选上界处理后,global_tau_relative_l1,2.9477636772673757e-05,2.1585777283516835e-05,3.8801782200702535e-05,8
GP 表达式自身产生的状态,100,本轮最优路径,更新前,deposit_l1_over_budget,0.03929629042188411,0.028845106297583172,0.05103710872172683,8
GP 表达式自身产生的状态,100,本轮最优路径,更新前,source_edge_tau_l1_over_two_budget,0.0,0.0,0.0,8
GP 表达式自身产生的状态,100,本轮最优路径,更新前,global_tau_relative_l1,0.0,0.0,0.0,8
GP 表达式自身产生的状态,100,本轮最优路径,沉积后,deposit_l1_over_budget,0.03929629042188411,0.029204015030545025,0.051242298252885066,8
GP 表达式自身产生的状态,100,本轮最优路径,沉积后,source_edge_tau_l1_over_two_budget,0.039296287250613626,0.02921599032796443,0.051078307646516004,8
GP 表达式自身产生的状态,100,本轮最优路径,沉积后,global_tau_relative_l1,3.4254259796393614e-05,2.556339182968825e-05,4.461685628597139e-05,8
GP 表达式自身产生的状态,100,本轮最优路径,蒸发和下界保护后,deposit_l1_over_budget,0.03929629042188411,0.029143424479550956,0.0509454911488354,8
GP 表达式自身产生的状态,100,本轮最优路径,蒸发和下界保护后,source_edge_tau_l1_over_two_budget,0.0,0.0,0.0,8
GP 表达式自身产生的状态,100,本轮最优路径,蒸发和下界保护后,global_tau_relative_l1,0.0,0.0,0.0,8
GP 表达式自身产生的状态,100,本轮最优路径,重启和可选上界处理后,deposit_l1_over_budget,0.03929629042188411,0.029124622525418736,0.05092698901941044,8
GP 表达式自身产生的状态,100,本轮最优路径,重启和可选上界处理后,source_edge_tau_l1_over_two_budget,0.039296287250613626,0.029106640620215743,0.05119559045763382,8
GP 表达式自身产生的状态,100,本轮最优路径,重启和可选上界处理后,global_tau_relative_l1,3.4254259796393614e-05,2.5636607386737663e-05,4.4285068138455856e-05,8
GP 表达式自身产生的状态,250,历史全局最优路径,更新前,deposit_l1_over_budget,0.003152438136006336,0.0021582568417722126,0.004307954120120208,8
GP 表达式自身产生的状态,250,历史全局最优路径,更新前,source_edge_tau_l1_over_two_budget,0.0,0.0,0.0,8
GP 表达式自身产生的状态,250,历史全局最优路径,更新前,global_tau_relative_l1,0.0,0.0,0.0,8
GP 表达式自身产生的状态,250,历史全局最优路径,沉积后,deposit_l1_over_budget,0.003152438136006336,0.0021643787954090457,0.004320213503086949,8
GP 表达式自身产生的状态,250,历史全局最优路径,沉积后,source_edge_tau_l1_over_two_budget,0.0031524376839840197,0.0021583121702465984,0.004293991994423023,8
GP 表达式自身产生的状态,250,历史全局最优路径,沉积后,global_tau_relative_l1,2.7947144973115155e-06,1.9206553742086778e-06,3.819958213195543e-06,8
GP 表达式自身产生的状态,250,历史全局最优路径,蒸发和下界保护后,deposit_l1_over_budget,0.003152438136006336,0.002178753950392888,0.004339949645995089,8
GP 表达式自身产生的状态,250,历史全局最优路径,蒸发和下界保护后,source_edge_tau_l1_over_two_budget,0.0,0.0,0.0,8
GP 表达式自身产生的状态,250,历史全局最优路径,蒸发和下界保护后,global_tau_relative_l1,0.0,0.0,0.0,8
GP 表达式自身产生的状态,250,历史全局最优路径,重启和可选上界处理后,deposit_l1_over_budget,0.003152438136006336,0.002192354563206149,0.004307962388374028,8
GP 表达式自身产生的状态,250,历史全局最优路径,重启和可选上界处理后,source_edge_tau_l1_over_two_budget,0.0031524376839840197,0.002195708967961077,0.004306100259835738,8
GP 表达式自身产生的状态,250,历史全局最优路径,重启和可选上界处理后,global_tau_relative_l1,2.7947144973115155e-06,1.9333646043990693e-06,3.825430675813043e-06,8
GP 表达式自身产生的状态,250,历史重启阶段最优路径,更新前,deposit_l1_over_budget,0.003152438136006336,0.0021782973751170664,0.004303513028304234,8
GP 表达式自身产生的状态,250,历史重启阶段最优路径,更新前,source_edge_tau_l1_over_two_budget,0.0,0.0,0.0,8
GP 表达式自身产生的状态,250,历史重启阶段最优路径,更新前,global_tau_relative_l1,0.0,0.0,0.0,8
