replicate,program,instance,behavior,iteration,candidate_entropy,candidate_effective_arcs,candidate_gini,top500_mass,top2500_mass,floor_fraction,source_edge_lift,current_best_edge_lift,global_best_edge_lift,reference_edge_lift,top500_persistence,source_age,source_kind,post_unique_tours,pre_mean_length,post_mean_length
0,2,0,三个固定 GP 表达式的均值,1,9.207694786888561,9973.579113885186,0.02240964168624604,0.06281333027328699,0.26848390495578617,0.0,1.2224563266014836,1.2224563266014836,1.2224563266014836,1.1679328567529321,nan,0.0,0,32,27.935501098632812,18.043670654296875
0,3,0,三个固定 GP 表达式的均值,1,9.207600495803282,9972.638738621617,0.02253818976841515,0.063277876943573,0.2685308737106553,0.0,1.2223704845278636,1.2223704845278636,1.2223704845278636,1.1674873084761028,nan,0.0,0,32,30.471437454223633,18.192461013793945
0,2,1,三个固定 GP 表达式的均值,1,9.207686990799267,9973.501359274924,0.02245473947032961,0.06281535169372852,0.26852467296113314,0.0,1.2222960755335979,1.2222960755335979,1.2222960755335979,1.15937389541545,nan,0.0,0,32,28.465961456298828,18.313119888305664
0,3,1,三个固定 GP 表达式的均值,1,9.207618706584281,9972.820349815302,0.02243408342464348,0.06333936096123365,0.26843642495171766,0.0,1.2212370994206116,1.2212370994206116,1.2212370994206116,1.1647777931089922,nan,0.0,0,32,30.571197509765625,18.412986755371094
0,2,2,三个固定 GP 表达式的均值,1,9.207776967230217,9974.398779704039,0.022035137828501083,0.06269660218637171,0.2681673661561183,0.0,1.2186564009869087,1.2186564009869087,1.2186564009869087,1.1578942175964761,nan,0.0,0,32,27.931133270263672,18.00162696838379
0,3,2,三个固定 GP 表达式的均值,1,9.207687339991612,9973.504841945853,0.02215765443129558,0.06311151734828153,0.26821407768611855,0.0,1.218568932233422,1.218568932233422,1.218568932233422,1.1638915614475547,nan,0.0,0,32,30.361892700195312,18.065929412841797
0,2,3,三个固定 GP 表达式的均值,1,9.207666813456534,9973.300122549963,0.022509153596864673,0.06304324088200401,0.26855342316632885,0.0,1.2228017814313437,1.2228017814313437,1.2228017814313437,1.1614826233202742,nan,0.0,0,32,28.147432327270508,18.199085235595703
0,3,3,三个固定 GP 表达式的均值,1,9.207627266343614,9972.905715122724,0.022400995374905586,0.06318188513442767,0.26841664299899426,0.0,1.2227974716466101,1.2227974716466101,1.2227974716466101,1.1647471609236941,nan,0.0,0,32,30.622663497924805,18.183740615844727
0,2,4,三个固定 GP 表达式的均值,1,9.207790736312887,9974.53611897094,0.021972891198374755,0.0627234032969717,0.26811345298638023,0.0,1.2173614358365628,1.2173614358365628,1.2173614358365628,1.1570710567902975,nan,0.0,0,32,27.142972946166992,17.773815155029297
0,3,4,三个固定 GP 表达式的均值,1,9.207756695185948,9974.196580299924,0.0218142687975853,0.06306988335883368,0.2679179040488407,0.0,1.215814870359832,1.215814870359832,1.215814870359832,1.1616968813953181,nan,0.0,0,32,29.5675106048584,17.864761352539062
0,2,5,三个固定 GP 表达式的均值,1,9.20789135890369,9975.539833134608,0.021540812558532796,0.06231291757474896,0.26776890796070457,0.0,1.2132268955284546,1.2132268955284546,1.2132268955284546,1.1537386255217548,nan,0.0,0,32,27.477436065673828,17.83148193359375
0,3,5,三个固定 GP 表达式的均值,1,9.20782456351821,9974.873535359135,0.021578230313957114,0.06269186678443113,0.26774357598079035,0.0,1.2135687881430979,1.2135687881430979,1.2135687881430979,1.1663553974092848,nan,0.0,0,32,29.947309494018555,17.88132095336914
0,2,6,三个固定 GP 表达式的均值,1,9.207735871618558,9973.988884107774,0.022214691026670508,0.06271983557467341,0.2683220775935547,0.0,1.2213134282108011,1.2213134282108011,1.2213134282108011,1.1605764386836526,nan,0.0,0,32,27.663890838623047,17.83242416381836
0,3,6,三个固定 GP 表达式的均值,1,9.2077221479254,9973.852005084012,0.021988405148436696,0.0630451485759841,0.26807016233098313,0.0,1.218298166973918,1.218298166973918,1.218298166973918,1.166906162571414,nan,0.0,0,32,30.121835708618164,17.910961151123047
