task,field,count,failed,used_failed,max_abs_error
numeric-check-a4000-as-legacy,PH.LSGain,10240000,0,0,0.0
numeric-check-a4000-as-legacy,PH.Origin,10240000,0,0,0.0
numeric-check-a4000-as-legacy,PH.TauHeadroom,10240000,0,0,0.0
numeric-check-a4000-as-legacy,PH.PreFreq,10240000,0,0,0.0
numeric-check-a4000-as-legacy,PH.PostFreq,10240000,0,0,0.0
numeric-check-a4000-as-legacy,TR.RTau,149880,43878,0,1.0000001776356524
numeric-check-a4000-as-legacy,TR.REta,149880,117,26,0.028874926679891444
numeric-check-a4000-as-legacy,TR.BaseConf,149880,0,0,7.731531507682021e-06
numeric-check-a4000-as-legacy,TR.DistRank,149880,0,0,1.8120769507135037e-07
numeric-check-a4000-as-legacy,TR.Entropy,149880,0,0,5.960464489751516e-07
numeric-check-a4000-as-legacy,TR.ConstructProg,149880,0,0,2.9025909231705782e-08
numeric-check-a4000-as-legacy,TR.ACOProg,149880,0,0,2.9343274809967568e-08
numeric-check-a4000-as-legacy,TR.Stagnation,149880,0,0,5.960464477539063e-08
numeric-check-a4000-as-legacy,TR.Tau,149880,0,0,0.0
numeric-check-a4000-as-legacy,TR.Distance,149880,0,0,0.0
numeric-check-a4000-as-legacy,TR.MeanTau,149880,0,0,2.384185791015625e-07
numeric-check-a4000-as-legacy,TR.MeanDistance,149880,0,0,9.608268736194248e-08
numeric-check-a4000-as-legacy,TR.Size,149880,0,0,0.0
numeric-check-a4000-as-legacy,TR.FeasibleCount,149880,0,0,0.0
numeric-check-a4000-as-legacy,TR.MutualRank,149880,0,0,7.86177447587022e-08
numeric-check-a4000-as-legacy,TR.TurnCos,149880,0,0,2.653311690359317e-07
numeric-check-a4000-mmas-centered_fp32,PH.EdgeEta,320000,0,0,7.984636668401102e-06
numeric-check-a4000-mmas-centered_fp32,PH.EdgeTau,320000,0,0,8.392839435433785e-06
numeric-check-a4000-mmas-centered_fp32,PH.NNRank,320000,0,0,6.271653385514497e-08
numeric-check-a4000-mmas-centered_fp32,PH.ColonyFreq,320000,0,0,0.0
numeric-check-a4000-mmas-centered_fp32,PH.SourceQuality,320000,0,0,6.992913097692011e-06
numeric-check-a4000-mmas-centered_fp32,PH.ACOProg,320000,0,0,2.9343274809967568e-08
numeric-check-a4000-mmas-centered_fp32,PH.Stagnation,320000,0,0,2.975463864185457e-08
numeric-check-a4000-mmas-centered_fp32,PH.LSGain,320000,0,0,0.0
numeric-check-a4000-mmas-centered_fp32,PH.Origin,320000,0,0,0.0
numeric-check-a4000-mmas-centered_fp32,PH.TauHeadroom,320000,0,0,1.5012721021889774e-07
numeric-check-a4000-mmas-centered_fp32,PH.PreFreq,320000,0,0,0.0
numeric-check-a4000-mmas-centered_fp32,PH.PostFreq,320000,0,0,0.0
numeric-check-a4000-mmas-centered_fp32,TR.RTau,147473,0,0,7.596993834457777e-06
numeric-check-a4000-mmas-centered_fp32,TR.REta,147473,0,0,7.6592652109575e-06
numeric-check-a4000-mmas-centered_fp32,TR.BaseConf,147473,0,0,7.731389828458113e-06
numeric-check-a4000-mmas-centered_fp32,TR.DistRank,147473,0,0,1.8120769507135037e-07
numeric-check-a4000-mmas-centered_fp32,TR.Entropy,147473,0,0,5.208477329432526e-07
numeric-check-a4000-mmas-centered_fp32,TR.ConstructProg,147473,0,0,2.9025909231705782e-08
numeric-check-a4000-mmas-centered_fp32,TR.ACOProg,147473,0,0,2.9343274809967568e-08
numeric-check-a4000-mmas-centered_fp32,TR.Stagnation,147473,0,0,0.0
numeric-check-a4000-mmas-centered_fp32,TR.Tau,147473,0,0,0.0
numeric-check-a4000-mmas-centered_fp32,TR.Distance,147473,0,0,0.0
numeric-check-a4000-mmas-centered_fp32,TR.MeanTau,147473,0,0,2.086162567138672e-07
numeric-check-a4000-mmas-centered_fp32,TR.MeanDistance,147473,0,0,1.025199890536399e-07
numeric-check-a4000-mmas-centered_fp32,TR.Size,147473,0,0,0.0
numeric-check-a4000-mmas-centered_fp32,TR.FeasibleCount,147473,0,0,0.0
