cohort,variant,condition,mode,model,instance_hash,replicate,gap,auc
P1,mmas,C111,legacy,baseline,86f2aad84417ebb700b2ceddf5f012b3bf34eaacfb05715d529211e9bb49bb4b,4,2.220446049250313e-14,0.1043650247856048
P1,mmas,C111,legacy,baseline,2c88e8b48fecb59fb8af4c0f38aa122407a4b881839baeed9ad619d03465859a,0,0.14450181260927675,0.29337518013346603
P1,mmas,C111,legacy,baseline,2c88e8b48fecb59fb8af4c0f38aa122407a4b881839baeed9ad619d03465859a,1,8.881784197001252e-14,0.22202366937220258
P1,mmas,C111,legacy,baseline,2c88e8b48fecb59fb8af4c0f38aa122407a4b881839baeed9ad619d03465859a,2,0.16692808572233986,0.30226883716773273
P1,mmas,C111,legacy,baseline,2c88e8b48fecb59fb8af4c0f38aa122407a4b881839baeed9ad619d03465859a,3,8.881784197001252e-14,0.2675103099737957
P1,mmas,C111,legacy,baseline,2c88e8b48fecb59fb8af4c0f38aa122407a4b881839baeed9ad619d03465859a,4,6.661338147750939e-14,0.22520104819577705
P1,mmas,C111,legacy,baseline,364b78eda267ab32f79df445f96547f1a0de28d8a04661273d3087efff18fc0a,0,0.0,0.2151952009308524
P1,mmas,C111,legacy,baseline,364b78eda267ab32f79df445f96547f1a0de28d8a04661273d3087efff18fc0a,1,0.17681073054645058,0.2694111024815358
P1,mmas,C111,legacy,baseline,364b78eda267ab32f79df445f96547f1a0de28d8a04661273d3087efff18fc0a,2,-2.220446049250313e-14,0.07810199978822047
P1,mmas,C111,legacy,baseline,364b78eda267ab32f79df445f96547f1a0de28d8a04661273d3087efff18fc0a,3,0.0,0.08828016342427766
P1,mmas,C111,legacy,baseline,364b78eda267ab32f79df445f96547f1a0de28d8a04661273d3087efff18fc0a,4,-2.220446049250313e-14,0.11288784423195794
P1,mmas,C111,legacy,baseline,a1c6494b72a2129eb97cd868f7a886545df730e3471217067b028a77fe348302,0,0.17554150440197702,0.31444492049583916
P1,mmas,C111,legacy,baseline,a1c6494b72a2129eb97cd868f7a886545df730e3471217067b028a77fe348302,1,0.1411162858748538,0.2639151973956534
P1,mmas,C111,legacy,baseline,a1c6494b72a2129eb97cd868f7a886545df730e3471217067b028a77fe348302,2,0.2169024763202243,0.3970554363510447
P1,mmas,C111,legacy,baseline,a1c6494b72a2129eb97cd868f7a886545df730e3471217067b028a77fe348302,3,0.04659994159599279,0.16745642412650186
P1,mmas,C111,legacy,baseline,a1c6494b72a2129eb97cd868f7a886545df730e3471217067b028a77fe348302,4,0.1574412708206019,0.26528900179222836
P1,mmas,C111,legacy,baseline,88be0bca1b2069acfb43d5375a1491e9c576fa4d380b00e12d7558d983da8dc1,0,0.17740265263370691,0.3692268093990783
P1,mmas,C111,legacy,baseline,88be0bca1b2069acfb43d5375a1491e9c576fa4d380b00e12d7558d983da8dc1,1,0.22114380380655607,0.3711487938007054
P1,mmas,C111,legacy,baseline,88be0bca1b2069acfb43d5375a1491e9c576fa4d380b00e12d7558d983da8dc1,2,0.19918358094468402,0.4088754461515119
P1,mmas,C111,legacy,baseline,88be0bca1b2069acfb43d5375a1491e9c576fa4d380b00e12d7558d983da8dc1,3,0.19918358094466182,0.30497267069623213
P1,mmas,C111,legacy,baseline,88be0bca1b2069acfb43d5375a1491e9c576fa4d380b00e12d7558d983da8dc1,4,0.24017163518148532,0.3496677950710804
P1,mmas,C111,legacy,baseline,4ede2506c91cc798fc63de0dbcc75fac32dba07e4d5cea1b4240cbbb8239c0a5,0,0.10231134501810235,0.309817605166531
P1,mmas,C111,legacy,baseline,4ede2506c91cc798fc63de0dbcc75fac32dba07e4d5cea1b4240cbbb8239c0a5,1,0.2887641013203046,0.4912721644335471
P1,mmas,C111,legacy,baseline,4ede2506c91cc798fc63de0dbcc75fac32dba07e4d5cea1b4240cbbb8239c0a5,2,0.09361796085993745,0.31435766131458076
P1,mmas,C111,legacy,baseline,4ede2506c91cc798fc63de0dbcc75fac32dba07e4d5cea1b4240cbbb8239c0a5,3,0.12256434919430959,0.3778584930061711
P1,mmas,C111,legacy,baseline,4ede2506c91cc798fc63de0dbcc75fac32dba07e4d5cea1b4240cbbb8239c0a5,4,0.08997862620263586,0.3672786634112706
