task,cohort,variant,condition,mode,instances,gpu_model,host,visible_gpu,wall_seconds_last_attempt,full_horizon_timing,diagnostic_bytes
numeric-pair-mmas-s3-b00--centered_fp32,N1,mmas,C111,centered_fp32,8,NVIDIA RTX A5000,cuda01.sms.vuw.ac.nz,GPU-f0f78645-5f56-4a26-f2c9-bee548a196d3,269.8307992564514,True,337824187
numeric-pair-mmas-s3-b00--centered_fp64,N1,mmas,C111,centered_fp64,8,NVIDIA RTX A5000,cuda01.sms.vuw.ac.nz,GPU-f0f78645-5f56-4a26-f2c9-bee548a196d3,286.02566363755614,True,337510355
numeric-pair-mmas-s3-b08--legacy,N1,mmas,C111,legacy,8,NVIDIA RTX A5000,cuda10.ecs.vuw.ac.nz,GPU-dc3f37e9-bc9b-dd69-60e8-a77365d836db,264.93592193489894,True,335475286
numeric-pair-mmas-s3-b08--centered_fp32,N1,mmas,C111,centered_fp32,8,NVIDIA RTX A5000,cuda10.ecs.vuw.ac.nz,GPU-dc3f37e9-bc9b-dd69-60e8-a77365d836db,278.33912146277726,True,336713234
numeric-pair-mmas-s3-b08--centered_fp64,N1,mmas,C111,centered_fp64,8,NVIDIA RTX A5000,cuda10.ecs.vuw.ac.nz,GPU-dc3f37e9-bc9b-dd69-60e8-a77365d836db,291.24161391472444,True,336637741
numeric-pair-mmas-s3-b16--legacy,N1,mmas,C111,legacy,8,NVIDIA RTX A5000,cuda13.ecs.vuw.ac.nz,GPU-da4490c9-1c09-49b2-00dc-b175417ae7bb,257.130543185398,True,334610540
numeric-pair-mmas-s3-b16--centered_fp32,N1,mmas,C111,centered_fp32,8,NVIDIA RTX A5000,cuda13.ecs.vuw.ac.nz,GPU-da4490c9-1c09-49b2-00dc-b175417ae7bb,265.32128563383594,True,337134912
numeric-pair-mmas-s3-b16--centered_fp64,N1,mmas,C111,centered_fp64,8,NVIDIA RTX A5000,cuda13.ecs.vuw.ac.nz,GPU-da4490c9-1c09-49b2-00dc-b175417ae7bb,278.83619492687285,True,336825236
numeric-pair-mmas-s3-b24--legacy,N1,mmas,C111,legacy,8,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-d06b09ac-edfa-36ed-68ed-4c6cc90409fd,253.57018559379503,True,336697085
numeric-pair-mmas-s3-b24--centered_fp32,N1,mmas,C111,centered_fp32,8,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-d06b09ac-edfa-36ed-68ed-4c6cc90409fd,267.91354870190844,True,339007950
numeric-pair-mmas-s3-b24--centered_fp64,N1,mmas,C111,centered_fp64,8,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-d06b09ac-edfa-36ed-68ed-4c6cc90409fd,287.0178520339541,True,339631495
numeric-pair-mmas-s4-b00--legacy,N1,mmas,C111,legacy,8,NVIDIA RTX A5000,cuda01.sms.vuw.ac.nz,GPU-f0f78645-5f56-4a26-f2c9-bee548a196d3,262.7461559828371,True,337551299
numeric-pair-mmas-s4-b00--centered_fp32,N1,mmas,C111,centered_fp32,8,NVIDIA RTX A5000,cuda01.sms.vuw.ac.nz,GPU-f0f78645-5f56-4a26-f2c9-bee548a196d3,270.7693064985797,True,339535451
numeric-pair-mmas-s4-b00--centered_fp64,N1,mmas,C111,centered_fp64,8,NVIDIA RTX A5000,cuda01.sms.vuw.ac.nz,GPU-f0f78645-5f56-4a26-f2c9-bee548a196d3,289.2135947449133,True,339595352
numeric-pair-mmas-s4-b08--legacy,N1,mmas,C111,legacy,8,NVIDIA RTX A5000,cuda10.ecs.vuw.ac.nz,GPU-29d94703-008a-2265-d24c-10f593a247fe,267.8816034933552,True,334394384
numeric-pair-mmas-s4-b08--centered_fp32,N1,mmas,C111,centered_fp32,8,NVIDIA RTX A5000,cuda10.ecs.vuw.ac.nz,GPU-29d94703-008a-2265-d24c-10f593a247fe,277.80653431406245,True,336567077
numeric-pair-mmas-s4-b08--centered_fp64,N1,mmas,C111,centered_fp64,8,NVIDIA RTX A5000,cuda10.ecs.vuw.ac.nz,GPU-29d94703-008a-2265-d24c-10f593a247fe,295.1258820556104,True,336876799
numeric-pair-mmas-s4-b16--legacy,N1,mmas,C111,legacy,8,NVIDIA RTX A5000,cuda13.ecs.vuw.ac.nz,GPU-da4490c9-1c09-49b2-00dc-b175417ae7bb,259.1667948011309,True,336372350
numeric-pair-mmas-s4-b16--centered_fp32,N1,mmas,C111,centered_fp32,8,NVIDIA RTX A5000,cuda13.ecs.vuw.ac.nz,GPU-da4490c9-1c09-49b2-00dc-b175417ae7bb,269.79878964601085,True,337969107
numeric-pair-mmas-s4-b16--centered_fp64,N1,mmas,C111,centered_fp64,8,NVIDIA RTX A5000,cuda13.ecs.vuw.ac.nz,GPU-da4490c9-1c09-49b2-00dc-b175417ae7bb,283.67436730628833,True,338034969
numeric-pair-mmas-s4-b24--legacy,N1,mmas,C111,legacy,8,NVIDIA RTX 4000 Ada Generation,cuda-small1.ecs.vuw.ac.nz,GPU-8ce2c8bb-d2fd-214d-c9ce-b22a66f38bbb,232.58256287127733,True,337979795
numeric-pair-mmas-s4-b24--centered_fp32,N1,mmas,C111,centered_fp32,8,NVIDIA RTX 4000 Ada Generation,cuda-small1.ecs.vuw.ac.nz,GPU-8ce2c8bb-d2fd-214d-c9ce-b22a66f38bbb,241.80900379642844,True,339528125
numeric-pair-mmas-s4-b24--centered_fp64,N1,mmas,C111,centered_fp64,8,NVIDIA RTX 4000 Ada Generation,cuda-small1.ecs.vuw.ac.nz,GPU-8ce2c8bb-d2fd-214d-c9ce-b22a66f38bbb,248.90416360553354,True,339561387
