task,cohort,variant,condition,mode,instances,gpu_model,host,visible_gpu,wall_seconds_last_attempt,full_horizon_timing,diagnostic_bytes
numeric-pair-as-s1-b00--centered_fp64,N1,as,C111,centered_fp64,8,NVIDIA RTX A5000,cuda13.ecs.vuw.ac.nz,GPU-da4490c9-1c09-49b2-00dc-b175417ae7bb,1403.2786940219812,True,2813928532
numeric-pair-as-s1-b08--legacy,N1,as,C111,legacy,8,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-83d1d2fa-a36a-58dc-e461-3d2b3077301c,1346.7135296920314,True,2752984302
numeric-pair-as-s1-b08--centered_fp32,N1,as,C111,centered_fp32,8,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-83d1d2fa-a36a-58dc-e461-3d2b3077301c,1554.15664854832,True,2763057774
numeric-pair-as-s1-b08--centered_fp64,N1,as,C111,centered_fp64,8,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-83d1d2fa-a36a-58dc-e461-3d2b3077301c,1358.060539057944,True,2760415669
numeric-pair-as-s1-b16--legacy,N1,as,C111,legacy,8,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-d06b09ac-edfa-36ed-68ed-4c6cc90409fd,1329.2986550373025,True,2806507019
numeric-pair-as-s1-b16--centered_fp32,N1,as,C111,centered_fp32,8,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-d06b09ac-edfa-36ed-68ed-4c6cc90409fd,1522.6558437538333,True,2805270869
numeric-pair-as-s1-b16--centered_fp64,N1,as,C111,centered_fp64,8,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-d06b09ac-edfa-36ed-68ed-4c6cc90409fd,1338.7270000120625,True,2801783664
numeric-pair-as-s1-b24--legacy,N1,as,C111,legacy,8,NVIDIA RTX A5000,cuda03.sms.vuw.ac.nz,GPU-cc91c3d0-a556-edeb-c53f-b64bf8bbe1f7,1304.7856850028038,True,2754041048
numeric-pair-as-s1-b24--centered_fp32,N1,as,C111,centered_fp32,8,NVIDIA RTX A5000,cuda03.sms.vuw.ac.nz,GPU-cc91c3d0-a556-edeb-c53f-b64bf8bbe1f7,1501.4495355002582,True,2750872600
numeric-pair-as-s1-b24--centered_fp64,N1,as,C111,centered_fp64,8,NVIDIA RTX A5000,cuda03.sms.vuw.ac.nz,GPU-cc91c3d0-a556-edeb-c53f-b64bf8bbe1f7,1315.8291447535157,True,2757338299
numeric-pair-as-s2-b00--legacy,N1,as,C111,legacy,8,NVIDIA RTX A5000,cuda01.sms.vuw.ac.nz,GPU-6a8d4409-1aff-259d-9729-2d12a7e5ef97,1344.7496054973453,True,2808767507
numeric-pair-as-s2-b00--centered_fp32,N1,as,C111,centered_fp32,8,NVIDIA RTX A5000,cuda01.sms.vuw.ac.nz,GPU-6a8d4409-1aff-259d-9729-2d12a7e5ef97,1550.5442307870835,True,2817461493
numeric-pair-as-s2-b00--centered_fp64,N1,as,C111,centered_fp64,8,NVIDIA RTX A5000,cuda01.sms.vuw.ac.nz,GPU-6a8d4409-1aff-259d-9729-2d12a7e5ef97,1352.1419201381505,True,2820286462
numeric-pair-as-s2-b08--legacy,N1,as,C111,legacy,8,NVIDIA RTX 4000 Ada Generation,cuda-small1.ecs.vuw.ac.nz,GPU-8ce2c8bb-d2fd-214d-c9ce-b22a66f38bbb,1130.264525314793,True,2774763994
numeric-pair-as-s2-b08--centered_fp32,N1,as,C111,centered_fp32,8,NVIDIA RTX 4000 Ada Generation,cuda-small1.ecs.vuw.ac.nz,GPU-8ce2c8bb-d2fd-214d-c9ce-b22a66f38bbb,1301.5324744284153,True,2773800784
numeric-pair-as-s2-b08--centered_fp64,N1,as,C111,centered_fp64,8,NVIDIA RTX 4000 Ada Generation,cuda-small1.ecs.vuw.ac.nz,GPU-8ce2c8bb-d2fd-214d-c9ce-b22a66f38bbb,1144.5754184070975,True,2777971660
numeric-pair-as-s2-b16--legacy,N1,as,C111,legacy,8,NVIDIA RTX A5000,cuda08.ecs.vuw.ac.nz,GPU-9e271973-f616-3c82-922d-792bb30eefc0,1354.2738278890029,True,2817020530
numeric-pair-as-s2-b16--centered_fp32,N1,as,C111,centered_fp32,8,NVIDIA RTX A5000,cuda08.ecs.vuw.ac.nz,GPU-9e271973-f616-3c82-922d-792bb30eefc0,1560.213832101319,True,2812800352
numeric-pair-as-s2-b16--centered_fp64,N1,as,C111,centered_fp64,8,NVIDIA RTX A5000,cuda08.ecs.vuw.ac.nz,GPU-9e271973-f616-3c82-922d-792bb30eefc0,1364.14680232713,True,2821564472
numeric-pair-as-s2-b24--legacy,N1,as,C111,legacy,8,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-eaae4626-0b5b-5897-32ea-8003857834e9,1235.7641013721004,True,2796681709
numeric-pair-as-s2-b24--centered_fp32,N1,as,C111,centered_fp32,8,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-eaae4626-0b5b-5897-32ea-8003857834e9,1425.9545737910084,True,2795272799
numeric-pair-as-s2-b24--centered_fp64,N1,as,C111,centered_fp64,8,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-eaae4626-0b5b-5897-32ea-8003857834e9,1246.2928917920217,True,2800164728
numeric-pair-as-s3-b00--legacy,N1,as,C111,legacy,8,NVIDIA RTX A5000,cuda11.ecs.vuw.ac.nz,GPU-c3d3524e-5391-eb14-74fe-17643672b259,1340.782802592963,True,2808757137
numeric-pair-as-s3-b00--centered_fp32,N1,as,C111,centered_fp32,8,NVIDIA RTX A5000,cuda11.ecs.vuw.ac.nz,GPU-c3d3524e-5391-eb14-74fe-17643672b259,1543.1593091678806,True,2810764357
numeric-pair-as-s3-b00--centered_fp64,N1,as,C111,centered_fp64,8,NVIDIA RTX A5000,cuda11.ecs.vuw.ac.nz,GPU-c3d3524e-5391-eb14-74fe-17643672b259,1352.3844230989926,True,2817116565
numeric-pair-as-s3-b08--legacy,N1,as,C111,legacy,8,NVIDIA RTX A5000,cuda10.ecs.vuw.ac.nz,GPU-29d94703-008a-2265-d24c-10f593a247fe,1344.8420196110383,True,2775284852
numeric-pair-as-s3-b08--centered_fp32,N1,as,C111,centered_fp32,8,NVIDIA RTX A5000,cuda10.ecs.vuw.ac.nz,GPU-29d94703-008a-2265-d24c-10f593a247fe,1551.79266606085,True,2768991609
numeric-pair-as-s3-b08--centered_fp64,N1,as,C111,centered_fp64,8,NVIDIA RTX A5000,cuda10.ecs.vuw.ac.nz,GPU-29d94703-008a-2265-d24c-10f593a247fe,1359.121589211747,True,2778116075
numeric-pair-as-s3-b16--legacy,N1,as,C111,legacy,8,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-83d1d2fa-a36a-58dc-e461-3d2b3077301c,1376.2995080761611,True,2764552061
numeric-pair-as-s3-b16--centered_fp32,N1,as,C111,centered_fp32,8,NVIDIA RTX A5000,cuda12.ecs.vuw.ac.nz,GPU-83d1d2fa-a36a-58dc-e461-3d2b3077301c,1590.6100622657686,True,2763077481
